Marginal Hits init.Cache Initialized. size: 256MB
alloc failed. 873925,115210544,733184,2258391
alloc failed. 877525,118266736,737280,9223372036854775807
hit ratio:0.80257,time:19410
hit ratio:0.74725,time:36078
hit ratio:0.764543,time:55104
hit ratio:0.768345,time:68987
hit ratio:0.778568,time:85754
hit ratio:0.756143,time:99983
hit ratio:0.759543,time:117155
hit ratio:0.76687,time:135439
hit ratio:0.771164,time:152058
hit ratio:0.775797,time:169932
hit ratio:0.769009,time:186003
hit ratio:0.772851,time:204521
hit ratio:0.776917,time:223394
hit ratio:0.780169,time:241218
hit ratio:0.781904,time:259379
hit ratio:0.777861,time:276090
hit ratio:0.779197,time:293665
hit ratio:0.778989,time:307934
hit ratio:0.779777,time:323219
hit ratio:0.781664,time:343025
hit ratio:0.776912,time:358925
hit ratio:0.777684,time:377402
hit ratio:0.777852,time:391690
hit ratio:0.778973,time:405377
hit ratio:0.780939,time:423866
hit ratio:0.77739,time:439446
hit ratio:0.778729,time:458368
hit ratio:0.778036,time:471806
hit ratio:0.778067,time:485151
hit ratio:0.779234,time:499120
hit ratio:0.780874,time:515050
hit ratio:0.777223,time:527546
hit ratio:0.778532,time:543745
hit ratio:0.778536,time:558396
hit ratio:0.778935,time:572324
EOF
hit ratio:0.779199,time:581588
num_requests:3558215,throughput:6.1181reqs/sec,
