Marginal Hits init.Cache Initialized. size: 512MB
hit ratio:0.81045,time:19410
hit ratio:0.75528,time:36078
hit ratio:0.77395,time:55104
hit ratio:0.781253,time:68987
hit ratio:0.791932,time:85754
hit ratio:0.769352,time:99983
hit ratio:0.773427,time:117155
hit ratio:0.781076,time:135439
hit ratio:0.785717,time:152058
hit ratio:0.791145,time:169932
hit ratio:0.784801,time:186003
hit ratio:0.789328,time:204521
hit ratio:0.793567,time:223394
hit ratio:0.796926,time:241218
hit ratio:0.79902,time:259379
hit ratio:0.795381,time:276090
hit ratio:0.796712,time:293665
hit ratio:0.796396,time:307934
hit ratio:0.797425,time:323219
hit ratio:0.799493,time:343025
hit ratio:0.794701,time:358925
hit ratio:0.795503,time:377402
hit ratio:0.79547,time:391690
hit ratio:0.796588,time:405377
hit ratio:0.798576,time:423866
hit ratio:0.79526,time:439446
hit ratio:0.796539,time:458368
hit ratio:0.795687,time:471806
hit ratio:0.795675,time:485151
hit ratio:0.796767,time:499120
hit ratio:0.798339,time:515050
hit ratio:0.79488,time:527546
hit ratio:0.796218,time:543745
hit ratio:0.796181,time:558396
hit ratio:0.796636,time:572324
EOF
hit ratio:0.797024,time:581588
num_requests:3558215,throughput:6.1181reqs/sec,
