Hits Per Slab Rebalancing init. Cache Initialized. size: 256MB
alloc failed. 2580914,14539256,372736,332598
alloc failed. 2580921,17022752,364544,9223372036854775807
alloc failed. 2580921,17022744,368640,9223372036854775807
alloc failed. 2580921,15629848,262144,12881
alloc failed. 2580921,15630360,262144,413410
alloc failed. 2580921,15630872,262144,413411
alloc failed. 2580921,15631384,262144,413412
alloc failed. 2580921,15631896,262144,413413
alloc failed. 2580921,15632408,262144,413414
alloc failed. 2580921,15632920,262144,413415
alloc failed. 2580921,15633432,262144,413416
alloc failed. 2580921,15633944,262144,413417
alloc failed. 2580921,15634456,262144,413418
alloc failed. 2580921,15634968,262144,413419
alloc failed. 2580921,15635480,262144,413420
alloc failed. 2580921,15635992,262144,413421
alloc failed. 2580921,15636504,262144,413422
alloc failed. 2580921,15637016,262144,413423
alloc failed. 2580921,15637528,262144,413424
alloc failed. 2580921,15638040,262144,2998331
alloc failed. 2580921,15638552,262144,1187622
alloc failed. 2580921,15639064,262144,3002491
alloc failed. 2580921,15639576,262144,3005341
alloc failed. 2580921,15640088,262144,3007227
alloc failed. 2580921,15640600,262144,775837
alloc failed. 2580921,15641112,262144,777587
alloc failed. 2580924,34926080,446464,310680
alloc failed. 2591498,14568024,393216,67200
hit ratio:0.65817,time:19846
hit ratio:0.727,time:43251
hit ratio:0.726447,time:64932
hit ratio:0.71189,time:85798
hit ratio:0.722956,time:109207
hit ratio:0.717982,time:129889
hit ratio:0.68782,time:142241
hit ratio:0.693149,time:162840
hit ratio:0.702438,time:186351
hit ratio:0.705857,time:208512
hit ratio:0.706326,time:229667
hit ratio:0.700598,time:248882
hit ratio:0.704,time:271852
hit ratio:0.712626,time:296000
hit ratio:0.714837,time:304627
hit ratio:0.70509,time:319027
hit ratio:0.702083,time:338432
hit ratio:0.707193,time:362541
hit ratio:0.712931,time:385319
hit ratio:0.707961,time:391192
hit ratio:0.676829,time:393292
hit ratio:0.649349,time:395728
hit ratio:0.625923,time:398882
hit ratio:0.6251,time:417994
hit ratio:0.625749,time:435653
hit ratio:0.630858,time:459044
hit ratio:0.637755,time:470138
hit ratio:0.632033,time:480903
hit ratio:0.630539,time:498346
hit ratio:0.631272,time:516803
hit ratio:0.637632,time:542735
hit ratio:0.644135,time:555620
hit ratio:0.646851,time:576029
hit ratio:0.646834,time:595371
EOF
hit ratio:0.647489,time:604306
num_requests:3442094,throughput:5.69595reqs/sec,
