Hits Per Slab Rebalancing init. Cache Initialized. size: 256MB
alloc failed. 50135555,1320767,69632,135960
alloc failed. 50135555,1320903,69632,882549
alloc failed. 50135555,1321039,69632,882550
alloc failed. 50135555,1321175,69632,882551
alloc failed. 50135555,1334911,69632,135988
alloc failed. 50135555,1335047,69632,135989
alloc failed. 50135555,1335183,69632,135990
alloc failed. 50135555,1251343,69632,135992
alloc failed. 50135555,1251479,69632,135993
alloc failed. 50135555,1264951,69632,882572
hit ratio:0.44155,time:19139
hit ratio:0.324735,time:21914
hit ratio:0.327357,time:30152
hit ratio:0.270508,time:35987
hit ratio:0.291084,time:51411
hit ratio:0.321433,time:73062
hit ratio:0.30645,time:79425
hit ratio:0.311934,time:94670
hit ratio:0.312654,time:105489
hit ratio:0.303861,time:108701
hit ratio:0.304545,time:122834
hit ratio:0.289606,time:127124
hit ratio:0.301403,time:144411
hit ratio:0.313197,time:166367
hit ratio:0.298536,time:166872
hit ratio:0.306231,time:181208
hit ratio:0.307861,time:198113
hit ratio:0.302358,time:210093
hit ratio:0.297408,time:220764
hit ratio:0.300276,time:238112
hit ratio:0.303929,time:253603
hit ratio:0.302425,time:264004
hit ratio:0.307481,time:282731
hit ratio:0.301898,time:287225
hit ratio:0.296034,time:297378
hit ratio:0.296218,time:310447
hit ratio:0.302588,time:328893
hit ratio:0.298804,time:340859
hit ratio:0.302284,time:358210
hit ratio:0.304894,time:372629
hit ratio:0.303187,time:379221
hit ratio:0.29688,time:384424
hit ratio:0.298683,time:393413
hit ratio:0.301286,time:409680
hit ratio:0.30495,time:423528
hit ratio:0.300044,time:431452
hit ratio:0.304005,time:452982
hit ratio:0.299738,time:454516
hit ratio:0.298351,time:462775
hit ratio:0.295941,time:471286
hit ratio:0.29134,time:474557
hit ratio:0.293836,time:489276
hit ratio:0.297691,time:508774
hit ratio:0.294363,time:515126
hit ratio:0.29603,time:525497
hit ratio:0.298115,time:540478
hit ratio:0.297379,time:551344
hit ratio:0.294502,time:558478
hit ratio:0.292778,time:559895
hit ratio:0.293771,time:577520
hit ratio:0.298065,time:599451
hit ratio:0.293691,time:602272
EOF
hit ratio:0.292358,time:606758
num_requests:5256246,throughput:8.66284reqs/sec,
