Hits Per Slab Rebalancing init. Cache Initialized. size: 256MB
alloc failed. 50135555,1320767,69632,135960
alloc failed. 50135555,1320903,69632,882549
alloc failed. 50135555,1321039,69632,882550
alloc failed. 50135555,1321175,69632,882551
alloc failed. 50135555,1334911,69632,135988
alloc failed. 50135555,1335047,69632,135989
alloc failed. 50135555,1335183,69632,135990
alloc failed. 50135555,1251343,69632,135992
alloc failed. 50135555,1251479,69632,135993
alloc failed. 50135555,1264951,69632,882572
hit ratio:0.44785,time:19139
hit ratio:0.330965,time:21914
hit ratio:0.333737,time:30152
hit ratio:0.27565,time:35987
hit ratio:0.29646,time:51411
hit ratio:0.327758,time:73062
hit ratio:0.312041,time:79425
hit ratio:0.317339,time:94670
hit ratio:0.317759,time:105489
hit ratio:0.308356,time:108701
hit ratio:0.309124,time:122834
hit ratio:0.293847,time:127124
hit ratio:0.306125,time:144411
hit ratio:0.317864,time:166367
hit ratio:0.302917,time:166872
hit ratio:0.310659,time:181208
hit ratio:0.312132,time:198113
hit ratio:0.306544,time:210093
hit ratio:0.301386,time:220764
hit ratio:0.304253,time:238112
hit ratio:0.307992,time:253603
hit ratio:0.306455,time:264004
hit ratio:0.31162,time:282731
hit ratio:0.305936,time:287225
hit ratio:0.300052,time:297378
hit ratio:0.300284,time:310447
hit ratio:0.306674,time:328893
hit ratio:0.302743,time:340859
hit ratio:0.306343,time:358210
hit ratio:0.30906,time:372629
hit ratio:0.307319,time:379221
hit ratio:0.301004,time:384424
hit ratio:0.302887,time:393413
hit ratio:0.305568,time:409680
hit ratio:0.309338,time:423528
hit ratio:0.304287,time:431452
hit ratio:0.308288,time:452982
hit ratio:0.303848,time:454516
hit ratio:0.302437,time:462775
hit ratio:0.29998,time:471286
hit ratio:0.295279,time:474557
hit ratio:0.297834,time:489276
hit ratio:0.301751,time:508774
hit ratio:0.298356,time:515126
hit ratio:0.30008,time:525497
hit ratio:0.30223,time:540478
hit ratio:0.301425,time:551344
hit ratio:0.298498,time:558478
hit ratio:0.296722,time:559895
hit ratio:0.297733,time:577520
hit ratio:0.302025,time:599451
hit ratio:0.297578,time:602272
EOF
hit ratio:0.296228,time:606758
num_requests:5256246,throughput:8.66284reqs/sec,
