Hits Per Slab Rebalancing init. Cache Initialized. size: 256MB
alloc failed. 50135555,1320767,69632,135960
alloc failed. 50135555,1320903,69632,882549
alloc failed. 50135555,1321039,69632,882550
alloc failed. 50135555,1321175,69632,882551
alloc failed. 50135555,1334911,69632,135988
alloc failed. 50135555,1335047,69632,135989
alloc failed. 50135555,1335183,69632,135990
alloc failed. 50135555,1251343,69632,135992
alloc failed. 50135555,1251479,69632,135993
alloc failed. 50135555,1264951,69632,882572
hit ratio:0.47409,time:19139
hit ratio:0.34121,time:21914
hit ratio:0.34308,time:30152
hit ratio:0.28492,time:35987
hit ratio:0.3109,time:51411
hit ratio:0.354157,time:73062
hit ratio:0.338759,time:79425
hit ratio:0.344658,time:94670
hit ratio:0.351742,time:105489
hit ratio:0.339584,time:108701
hit ratio:0.342036,time:122834
hit ratio:0.32574,time:127124
hit ratio:0.339673,time:144411
hit ratio:0.352286,time:166367
hit ratio:0.338769,time:166872
hit ratio:0.346296,time:181208
hit ratio:0.346,time:198113
hit ratio:0.339739,time:210093
hit ratio:0.334128,time:220764
hit ratio:0.336152,time:238112
hit ratio:0.338343,time:253603
hit ratio:0.336277,time:264004
hit ratio:0.342877,time:282731
hit ratio:0.336139,time:287225
hit ratio:0.329577,time:297378
hit ratio:0.329997,time:310447
hit ratio:0.33594,time:328893
hit ratio:0.331298,time:340859
hit ratio:0.335276,time:358210
hit ratio:0.338743,time:372629
hit ratio:0.336777,time:379221
hit ratio:0.329959,time:384424
hit ratio:0.331293,time:393413
hit ratio:0.334945,time:409680
hit ratio:0.340098,time:423528
hit ratio:0.334713,time:431452
hit ratio:0.340174,time:452982
hit ratio:0.336559,time:454516
hit ratio:0.334608,time:462775
hit ratio:0.332121,time:471286
hit ratio:0.326948,time:474557
hit ratio:0.330285,time:489276
hit ratio:0.336208,time:508774
hit ratio:0.332461,time:515126
hit ratio:0.333406,time:525497
hit ratio:0.335719,time:540478
hit ratio:0.334158,time:551344
hit ratio:0.331487,time:558478
hit ratio:0.329525,time:559895
hit ratio:0.330965,time:577520
hit ratio:0.336374,time:599451
hit ratio:0.331441,time:602272
EOF
hit ratio:0.329951,time:606758
num_requests:5256246,throughput:8.66284reqs/sec,
