FreeMem Rebalancing init. Cache Initialized. size: 512MB
alloc failed. 50135555,1320767,69632,135960
alloc failed. 50135555,1320903,69632,882549
alloc failed. 50135555,1321039,69632,882550
alloc failed. 50135555,1321175,69632,882551
alloc failed. 50135555,1334911,69632,135988
alloc failed. 50135555,1335047,69632,135989
alloc failed. 50135555,1335183,69632,135990
alloc failed. 50135555,1251343,69632,135992
alloc failed. 50135555,1251479,69632,135993
alloc failed. 50135555,1264951,69632,882572
hit ratio:0.50718,time:19139
hit ratio:0.389205,time:21914
hit ratio:0.401127,time:30152
hit ratio:0.340643,time:35987
hit ratio:0.38062,time:51411
hit ratio:0.424815,time:73062
hit ratio:0.411516,time:79425
hit ratio:0.421889,time:94670
hit ratio:0.43473,time:105489
hit ratio:0.424157,time:108701
hit ratio:0.428837,time:122834
hit ratio:0.412041,time:127124
hit ratio:0.430192,time:144411
hit ratio:0.445311,time:166367
hit ratio:0.431984,time:166872
hit ratio:0.44172,time:181208
hit ratio:0.439728,time:198113
hit ratio:0.430609,time:210093
hit ratio:0.424004,time:220764
hit ratio:0.426311,time:238112
hit ratio:0.427892,time:253603
hit ratio:0.42558,time:264004
hit ratio:0.433184,time:282731
hit ratio:0.425233,time:287225
hit ratio:0.416518,time:297378
hit ratio:0.41745,time:310447
hit ratio:0.423553,time:328893
hit ratio:0.41727,time:340859
hit ratio:0.421771,time:358210
hit ratio:0.425349,time:372629
hit ratio:0.423072,time:379221
hit ratio:0.415379,time:384424
hit ratio:0.418151,time:393413
hit ratio:0.424163,time:409680
hit ratio:0.432317,time:423528
hit ratio:0.426217,time:431452
hit ratio:0.433104,time:452982
hit ratio:0.429519,time:454516
hit ratio:0.427533,time:462775
hit ratio:0.424943,time:471286
hit ratio:0.419176,time:474557
hit ratio:0.423452,time:489276
hit ratio:0.430929,time:508774
hit ratio:0.426741,time:515126
hit ratio:0.428495,time:525497
hit ratio:0.431112,time:540478
hit ratio:0.428585,time:551344
hit ratio:0.425519,time:558478
hit ratio:0.423658,time:559895
hit ratio:0.425943,time:577520
hit ratio:0.4329,time:599451
hit ratio:0.427194,time:602272
EOF
hit ratio:0.425585,time:606758
num_requests:5256246,throughput:8.66284reqs/sec,
