Marginal Hits init.Cache Initialized. size: 512MB
alloc failed. 50135555,1320767,69632,135960
alloc failed. 50135555,1320903,69632,882549
alloc failed. 50135555,1321039,69632,882550
alloc failed. 50135555,1321175,69632,882551
alloc failed. 50135555,1334911,69632,135988
alloc failed. 50135555,1335047,69632,135989
alloc failed. 50135555,1335183,69632,135990
alloc failed. 50135555,1251343,69632,135992
alloc failed. 50135555,1251479,69632,135993
alloc failed. 50135555,1264951,69632,882572
hit ratio:0.50725,time:19139
hit ratio:0.38927,time:21914
hit ratio:0.40118,time:30152
hit ratio:0.340627,time:35987
hit ratio:0.380604,time:51411
hit ratio:0.424822,time:73062
hit ratio:0.411569,time:79425
hit ratio:0.421929,time:94670
hit ratio:0.434683,time:105489
hit ratio:0.423059,time:108701
hit ratio:0.428127,time:122834
hit ratio:0.411207,time:127124
hit ratio:0.430448,time:144411
hit ratio:0.445691,time:166367
hit ratio:0.432269,time:166872
hit ratio:0.442136,time:181208
hit ratio:0.440157,time:198113
hit ratio:0.431037,time:210093
hit ratio:0.424292,time:220764
hit ratio:0.426504,time:238112
hit ratio:0.427977,time:253603
hit ratio:0.425707,time:264004
hit ratio:0.433352,time:282731
hit ratio:0.425383,time:287225
hit ratio:0.416657,time:297378
hit ratio:0.417544,time:310447
hit ratio:0.423641,time:328893
hit ratio:0.417365,time:340859
hit ratio:0.421883,time:358210
hit ratio:0.4255,time:372629
hit ratio:0.423172,time:379221
hit ratio:0.415464,time:384424
hit ratio:0.418257,time:393413
hit ratio:0.424324,time:409680
hit ratio:0.43239,time:423528
hit ratio:0.426302,time:431452
hit ratio:0.433178,time:452982
hit ratio:0.429547,time:454516
hit ratio:0.427539,time:462775
hit ratio:0.424892,time:471286
hit ratio:0.419097,time:474557
hit ratio:0.423418,time:489276
hit ratio:0.430865,time:508774
hit ratio:0.42669,time:515126
hit ratio:0.428477,time:525497
hit ratio:0.431457,time:540478
hit ratio:0.428961,time:551344
hit ratio:0.425888,time:558478
hit ratio:0.423903,time:559895
hit ratio:0.426221,time:577520
hit ratio:0.433518,time:599451
hit ratio:0.42787,time:602272
EOF
hit ratio:0.426253,time:606758
num_requests:5256246,throughput:8.66284reqs/sec,
