Cache Initialized. size: 2GB
hit ratio:0.78546,time:34558
hit ratio:0.805305,time:70296
hit ratio:0.809377,time:103287
hit ratio:0.701638,time:118332
hit ratio:0.637388,time:119201
hit ratio:0.53262,time:119626
hit ratio:0.45726,time:119894
hit ratio:0.402374,time:120453
hit ratio:0.363659,time:121756
hit ratio:0.410872,time:160790
hit ratio:0.439844,time:193006
hit ratio:0.413721,time:194133
hit ratio:0.386082,time:194852
hit ratio:0.358791,time:195175
hit ratio:0.335655,time:195638
hit ratio:0.315151,time:195942
hit ratio:0.330103,time:220774
hit ratio:0.357607,time:253626
hit ratio:0.385259,time:287206
hit ratio:0.412862,time:321254
hit ratio:0.427226,time:322623
hit ratio:0.41502,time:323274
hit ratio:0.397833,time:323626
hit ratio:0.382253,time:324095
hit ratio:0.367567,time:324452
hit ratio:0.367692,time:339161
hit ratio:0.38513,time:373090
hit ratio:0.37958,time:380849
hit ratio:0.368472,time:381591
hit ratio:0.356614,time:381979
hit ratio:0.345377,time:382451
hit ratio:0.335219,time:382980
hit ratio:0.33228,time:392288
hit ratio:0.3471,time:425389
hit ratio:0.361983,time:458490
hit ratio:0.359231,time:467706
hit ratio:0.357261,time:468569
hit ratio:0.348202,time:468977
hit ratio:0.339447,time:469324
hit ratio:0.331226,time:469849
hit ratio:0.327961,time:476894
hit ratio:0.339219,time:509870
hit ratio:0.351419,time:549327
hit ratio:0.358339,time:555396
hit ratio:0.353491,time:556059
hit ratio:0.34608,time:556425
hit ratio:0.338883,time:556770
hit ratio:0.331991,time:557214
hit ratio:0.330873,time:567756
hit ratio:0.340947,time:601771
EOF
hit ratio:0.343146,time:609839
num_requests:5026619,throughput:8.24253reqs/sec,
