Marginal Hits init. Cache Initialized. size: 2GB
hit ratio:0.65126,time:59498
hit ratio:0.420925,time:59972
hit ratio:0.283453,time:60925
hit ratio:0.213738,time:61589
hit ratio:0.186976,time:62935
hit ratio:0.156858,time:63741
alloc failed. 13315780,47890408,633856,955300
hit ratio:0.176299,time:101305
hit ratio:0.199961,time:101998
hit ratio:0.180003,time:102765
hit ratio:0.162786,time:103568
hit ratio:0.155642,time:104468
hit ratio:0.143684,time:105524
hit ratio:0.138648,time:115391
hit ratio:0.176799,time:174985
hit ratio:0.17563,time:175523
hit ratio:0.165732,time:176501
hit ratio:0.156318,time:177136
hit ratio:0.152111,time:178532
hit ratio:0.144687,time:179412
hit ratio:0.153735,time:221587
hit ratio:0.17707,time:288244
hit ratio:0.181451,time:288846
hit ratio:0.174078,time:289777
hit ratio:0.167098,time:290602
hit ratio:0.163582,time:291982
hit ratio:0.157532,time:292868
hit ratio:0.161673,time:326023
hit ratio:0.176155,time:363814
hit ratio:0.174212,time:364488
hit ratio:0.168728,time:365614
hit ratio:0.163468,time:366195
hit ratio:0.160963,time:367692
hit ratio:0.156398,time:368654
hit ratio:0.164388,time:419645
hit ratio:0.17467,time:448810
hit ratio:0.173151,time:449510
hit ratio:0.168711,time:450612
hit ratio:0.164664,time:451330
hit ratio:0.162478,time:452569
hit ratio:0.15862,time:453361
hit ratio:0.167385,time:515771
hit ratio:0.175028,time:536508
hit ratio:0.172167,time:537154
hit ratio:0.168428,time:538203
hit ratio:0.166286,time:539027
hit ratio:0.162915,time:540529
hit ratio:0.15961,time:541487
EOF
hit ratio:0.167999,time:609831
num_requests:4790048,throughput:7.85471reqs/sec,
