Marginal Hits init. Cache Initialized. size: 512MB
hit ratio:0.65126,time:59498
hit ratio:0.420905,time:59972
hit ratio:0.28344,time:60925
hit ratio:0.213728,time:61589
hit ratio:0.186964,time:62935
hit ratio:0.156848,time:63741
alloc failed. 13315780,47890408,633856,955300
hit ratio:0.176289,time:101305
hit ratio:0.199329,time:101998
hit ratio:0.179441,time:102765
hit ratio:0.162279,time:103568
hit ratio:0.155179,time:104468
hit ratio:0.14326,time:105524
hit ratio:0.138257,time:115391
hit ratio:0.176429,time:174985
hit ratio:0.174924,time:175523
hit ratio:0.16507,time:176501
hit ratio:0.155695,time:177136
hit ratio:0.151521,time:178532
hit ratio:0.144128,time:179412
hit ratio:0.153203,time:221587
hit ratio:0.176558,time:288244
hit ratio:0.180837,time:288846
hit ratio:0.173491,time:289777
hit ratio:0.166535,time:290602
hit ratio:0.163042,time:291982
hit ratio:0.157012,time:292868
hit ratio:0.161172,time:326023
hit ratio:0.175647,time:363814
hit ratio:0.173687,time:364488
hit ratio:0.16822,time:365614
hit ratio:0.162977,time:366195
hit ratio:0.160485,time:367692
hit ratio:0.155935,time:368654
hit ratio:0.163938,time:419645
hit ratio:0.174083,time:448810
hit ratio:0.172577,time:449510
hit ratio:0.168152,time:450612
hit ratio:0.164119,time:451330
hit ratio:0.161947,time:452569
hit ratio:0.158102,time:453361
hit ratio:0.166879,time:515771
hit ratio:0.174495,time:536508
hit ratio:0.171647,time:537154
hit ratio:0.16792,time:538203
hit ratio:0.165788,time:539027
hit ratio:0.162428,time:540529
hit ratio:0.159133,time:541487
EOF
hit ratio:0.167531,time:609831
num_requests:4790048,throughput:7.85471reqs/sec,
