Cache Initialized. size: 1GB
hit ratio:0.65126,time:59498
hit ratio:0.421405,time:59972
hit ratio:0.285973,time:60925
hit ratio:0.216208,time:61589
hit ratio:0.198328,time:62935
hit ratio:0.166377,time:63741
alloc failed. 13315780,47890408,633856,955300
hit ratio:0.188181,time:101305
hit ratio:0.213174,time:101998
hit ratio:0.193418,time:102765
hit ratio:0.175692,time:103568
hit ratio:0.172047,time:104468
hit ratio:0.158817,time:105524
hit ratio:0.152678,time:115391
hit ratio:0.191173,time:174985
hit ratio:0.189384,time:175523
hit ratio:0.179544,time:176501
hit ratio:0.169632,time:177136
hit ratio:0.168632,time:178532
hit ratio:0.160491,time:179412
hit ratio:0.168805,time:221587
hit ratio:0.191941,time:288244
hit ratio:0.195536,time:288846
hit ratio:0.188374,time:289777
hit ratio:0.181068,time:290602
hit ratio:0.177771,time:291982
hit ratio:0.171269,time:292868
hit ratio:0.174902,time:326023
hit ratio:0.190863,time:363814
hit ratio:0.188889,time:364488
hit ratio:0.183312,time:365614
hit ratio:0.177767,time:366195
hit ratio:0.175598,time:367692
hit ratio:0.17063,time:368654
hit ratio:0.178166,time:419645
hit ratio:0.188861,time:448810
hit ratio:0.187219,time:449510
hit ratio:0.182717,time:450612
hit ratio:0.178782,time:451330
hit ratio:0.176538,time:452569
hit ratio:0.17236,time:453361
hit ratio:0.180727,time:515771
hit ratio:0.189077,time:536508
hit ratio:0.186355,time:537154
hit ratio:0.18256,time:538203
hit ratio:0.180557,time:539027
hit ratio:0.177335,time:540529
hit ratio:0.173771,time:541487
EOF
hit ratio:0.181856,time:609831
num_requests:4790048,throughput:7.85471reqs/sec,
