Cache Initialized. size: 2GB
hit ratio:0.65126,time:59498
hit ratio:0.42223,time:59972
hit ratio:0.28652,time:60925
hit ratio:0.216617,time:61589
hit ratio:0.198658,time:62935
hit ratio:0.166652,time:63741
alloc failed. 13315780,47890408,633856,955300
hit ratio:0.188437,time:101305
hit ratio:0.213887,time:101998
hit ratio:0.194051,time:102765
hit ratio:0.176266,time:103568
hit ratio:0.172586,time:104468
hit ratio:0.159316,time:105524
hit ratio:0.153155,time:115391
hit ratio:0.192281,time:174985
hit ratio:0.191595,time:175523
hit ratio:0.181974,time:176501
hit ratio:0.172734,time:177136
hit ratio:0.171959,time:178532
hit ratio:0.164395,time:179412
hit ratio:0.17268,time:221587
hit ratio:0.195992,time:288244
hit ratio:0.201978,time:288846
hit ratio:0.194833,time:289777
hit ratio:0.18785,time:290602
hit ratio:0.18467,time:291982
hit ratio:0.178529,time:292868
hit ratio:0.182048,time:326023
hit ratio:0.19798,time:363814
hit ratio:0.196334,time:364488
hit ratio:0.190702,time:365614
hit ratio:0.185343,time:366195
hit ratio:0.183135,time:367692
hit ratio:0.177985,time:368654
hit ratio:0.185283,time:419645
hit ratio:0.195839,time:448810
hit ratio:0.194725,time:449510
hit ratio:0.190039,time:450612
hit ratio:0.185947,time:451330
hit ratio:0.183541,time:452569
hit ratio:0.179488,time:453361
hit ratio:0.18775,time:515771
hit ratio:0.197062,time:536508
hit ratio:0.194353,time:537154
hit ratio:0.190469,time:538203
hit ratio:0.188286,time:539027
hit ratio:0.184905,time:540529
hit ratio:0.181254,time:541487
EOF
hit ratio:0.189207,time:609831
num_requests:4790048,throughput:7.85471reqs/sec,
