Marginal Hits init. Cache Initialized. size: 1GB
hit ratio:0.26359,time:71225
hit ratio:0.17105,time:111098
hit ratio:0.176507,time:140654
hit ratio:0.171705,time:175074
hit ratio:0.15706,time:201827
hit ratio:0.179633,time:206661
hit ratio:0.155699,time:208112
hit ratio:0.137393,time:210284
hit ratio:0.122449,time:211012
hit ratio:0.111087,time:212866
hit ratio:0.101291,time:213907
hit ratio:0.0929975,time:214837
hit ratio:0.0870185,time:216291
hit ratio:0.0822014,time:217685
hit ratio:0.077402,time:219862
hit ratio:0.0733825,time:220791
hit ratio:0.0695118,time:221520
hit ratio:0.065905,time:222716
hit ratio:0.0635468,time:224255
hit ratio:0.061378,time:226931
hit ratio:0.0589371,time:228604
hit ratio:0.056525,time:229754
hit ratio:0.0544457,time:230485
hit ratio:0.052375,time:231598
hit ratio:0.0504612,time:232494
hit ratio:0.0487885,time:233690
hit ratio:0.047333,time:234993
hit ratio:0.0461582,time:237165
hit ratio:0.0447655,time:238110
hit ratio:0.043487,time:239028
hit ratio:0.0422794,time:239773
hit ratio:0.0411637,time:241047
hit ratio:0.0401282,time:242016
hit ratio:0.0391321,time:243179
hit ratio:0.0382557,time:243818
hit ratio:0.0373933,time:244441
hit ratio:0.0365111,time:245055
hit ratio:0.0357239,time:246214
hit ratio:0.0351046,time:247285
hit ratio:0.03432,time:247966
hit ratio:0.0335449,time:248600
hit ratio:0.0329774,time:249971
hit ratio:0.0323509,time:250970
hit ratio:0.0321161,time:267746
hit ratio:0.0345073,time:316239
hit ratio:0.0401809,time:376542
hit ratio:0.0402994,time:386125
EOF
hit ratio:0.0405978,time:399400
num_requests:4749563,throughput:11.8917reqs/sec,
