Marginal Hits init. Cache Initialized. size: 256MB
hit ratio:0.52376,time:5098
hit ratio:0.55396,time:12236
hit ratio:0.524383,time:16590
hit ratio:0.561475,time:23486
hit ratio:0.589928,time:33127
hit ratio:0.550853,time:36769
hit ratio:0.51055,time:38832
hit ratio:0.502615,time:44626
hit ratio:0.535098,time:69496
hit ratio:0.544434,time:83182
hit ratio:0.552901,time:93976
hit ratio:0.575915,time:112749
hit ratio:0.582818,time:129298
hit ratio:0.602281,time:153816
hit ratio:0.614987,time:166067
hit ratio:0.616585,time:180614
hit ratio:0.628481,time:196903
hit ratio:0.631446,time:209246
hit ratio:0.621374,time:216907
hit ratio:0.624569,time:228084
hit ratio:0.632591,time:243788
hit ratio:0.631407,time:260421
hit ratio:0.63013,time:272739
hit ratio:0.638332,time:291397
hit ratio:0.633003,time:304374
hit ratio:0.63961,time:326982
hit ratio:0.640044,time:343228
hit ratio:0.639494,time:352815
hit ratio:0.645577,time:371415
hit ratio:0.648249,time:379677
hit ratio:0.642331,time:386561
hit ratio:0.641182,time:396195
hit ratio:0.645193,time:408500
hit ratio:0.649916,time:424779
hit ratio:0.641741,time:429921
hit ratio:0.646373,time:447871
hit ratio:0.652014,time:469673
hit ratio:0.646004,time:478288
hit ratio:0.651094,time:501735
hit ratio:0.64773,time:516088
hit ratio:0.64887,time:530300
hit ratio:0.65349,time:546495
hit ratio:0.65344,time:553128
hit ratio:0.646268,time:559308
hit ratio:0.647389,time:576579
hit ratio:0.651374,time:599352
hit ratio:0.644763,time:604274
EOF
hit ratio:0.64524,time:606992
num_requests:4711053,throughput:7.76131reqs/sec,
