Hits Per Slab Rebalancing init. Cache Initialized. size: 512MB
alloc failed. 7738871,101281960,782336,9223372036854775807
hit ratio:0.4362,time:2405
hit ratio:0.487305,time:2984
hit ratio:0.503887,time:20997
hit ratio:0.510535,time:39572
hit ratio:0.50055,time:56638
hit ratio:0.533435,time:83728
hit ratio:0.556959,time:107382
hit ratio:0.589536,time:135941
hit ratio:0.585253,time:156991
hit ratio:0.601834,time:181038
hit ratio:0.618539,time:207072
hit ratio:0.619062,time:228438
hit ratio:0.628148,time:258141
hit ratio:0.638531,time:281430
hit ratio:0.645019,time:305429
hit ratio:0.640921,time:326189
hit ratio:0.647879,time:350566
hit ratio:0.655507,time:376841
hit ratio:0.654571,time:401254
hit ratio:0.651093,time:419428
hit ratio:0.66071,time:450811
hit ratio:0.661868,time:468570
hit ratio:0.658513,time:490409
hit ratio:0.667088,time:523842
hit ratio:0.668585,time:543777
hit ratio:0.67377,time:568152
hit ratio:0.676193,time:568235
hit ratio:0.67488,time:568414
hit ratio:0.670458,time:571815
hit ratio:0.651024,time:571982
hit ratio:0.630546,time:572127
hit ratio:0.611748,time:572264
hit ratio:0.594541,time:572393
hit ratio:0.578053,time:572581
hit ratio:0.564759,time:574109
hit ratio:0.567894,time:598283
EOF
hit ratio:0.570064,time:607175
num_requests:3625918,throughput:5.97178reqs/sec,
