Marginal Hits init.Cache Initialized. size: 512MB
alloc failed. 7738871,101281960,782336,9223372036854775807
hit ratio:0.4362,time:2405
hit ratio:0.487275,time:2984
hit ratio:0.503867,time:20997
hit ratio:0.51052,time:39572
hit ratio:0.500538,time:56638
hit ratio:0.53342,time:83728
hit ratio:0.556941,time:107382
hit ratio:0.589524,time:135941
hit ratio:0.585239,time:156991
hit ratio:0.601821,time:181038
hit ratio:0.618529,time:207072
hit ratio:0.619053,time:228438
hit ratio:0.628138,time:258141
hit ratio:0.638523,time:281430
hit ratio:0.645011,time:305429
hit ratio:0.640913,time:326189
hit ratio:0.647871,time:350566
hit ratio:0.655499,time:376841
hit ratio:0.654562,time:401254
hit ratio:0.651084,time:419428
hit ratio:0.660701,time:450811
hit ratio:0.661861,time:468570
hit ratio:0.658508,time:490409
hit ratio:0.667082,time:523842
hit ratio:0.668579,time:543777
hit ratio:0.673764,time:568152
hit ratio:0.676187,time:568235
hit ratio:0.674875,time:568414
hit ratio:0.670452,time:571815
hit ratio:0.651018,time:571982
hit ratio:0.63054,time:572127
hit ratio:0.611742,time:572264
hit ratio:0.594535,time:572393
hit ratio:0.578047,time:572581
hit ratio:0.564753,time:574109
hit ratio:0.567887,time:598283
EOF
hit ratio:0.570058,time:607175
num_requests:3625918,throughput:5.97178reqs/sec,
