Cache Initialized. size: 512MB
hit ratio:0.55651,time:27091
hit ratio:0.501915,time:43934
hit ratio:0.50868,time:65656
hit ratio:0.540523,time:76546
hit ratio:0.532638,time:96659
hit ratio:0.53972,time:108653
hit ratio:0.534936,time:134738
hit ratio:0.542578,time:152453
hit ratio:0.531606,time:173241
hit ratio:0.538012,time:199625
hit ratio:0.528944,time:219689
hit ratio:0.535649,time:248573
hit ratio:0.540473,time:279262
hit ratio:0.534157,time:302248
hit ratio:0.539103,time:333314
hit ratio:0.526611,time:350680
hit ratio:0.496246,time:351016
hit ratio:0.469766,time:351355
hit ratio:0.446536,time:351690
hit ratio:0.425903,time:352026
hit ratio:0.407232,time:352362
hit ratio:0.39041,time:352696
hit ratio:0.374954,time:353032
hit ratio:0.360788,time:353369
hit ratio:0.347835,time:353706
hit ratio:0.335362,time:354045
hit ratio:0.323701,time:354381
hit ratio:0.313958,time:354718
hit ratio:0.305111,time:355055
hit ratio:0.298249,time:355389
hit ratio:0.292343,time:355723
hit ratio:0.28653,time:356056
hit ratio:0.2809,time:356390
hit ratio:0.275589,time:356724
hit ratio:0.271077,time:357057
hit ratio:0.266897,time:357391
hit ratio:0.262891,time:357725
hit ratio:0.259155,time:358058
hit ratio:0.253735,time:358404
hit ratio:0.247875,time:358779
hit ratio:0.242724,time:360124
hit ratio:0.245946,time:378416
hit ratio:0.256793,time:402216
hit ratio:0.262358,time:425810
EOF
hit ratio:0.267376,time:447517
num_requests:4493515,throughput:10.041reqs/sec,
