Hits Per Slab Rebalancing init. Cache Initialized. size: 512MB
alloc failed. 24146317,29860664,1052672,891257
alloc failed. 24146317,29862720,1011712,891258
alloc failed. 24146317,29864696,1052672,29957
alloc failed. 24146317,29866752,1044480,29958
alloc failed. 24146317,29868792,1052672,29959
alloc failed. 24146317,29870848,1044480,29960
alloc failed. 24146317,29872888,1052672,29961
alloc failed. 24146317,24623008,1052672,153547
alloc failed. 24146317,24625064,1011712,408868
alloc failed. 24146317,24627040,1052672,29981
alloc failed. 24146317,24629096,1044480,29982
alloc failed. 24146317,35033296,993280,453412
alloc failed. 24146317,29813832,1052672,150793
alloc failed. 24146317,29815888,1052672,408913
alloc failed. 24146317,29817944,1052672,408914
alloc failed. 24146317,29820000,1052672,408915
alloc failed. 24146317,29822056,1052672,408916
alloc failed. 24146317,29824112,1052672,408917
alloc failed. 24146317,29826168,1052672,408918
alloc failed. 24146317,29828224,1052672,408919
alloc failed. 24146317,24631136,1052672,29983
alloc failed. 24146317,24633192,1044480,29984
alloc failed. 24146317,24635232,1052672,29985
alloc failed. 24146317,24637288,1044480,29986
alloc failed. 24146317,24639328,1052672,29987
alloc failed. 24146317,24641384,1044480,29988
alloc failed. 24146317,24643424,1052672,29989
alloc failed. 24146317,24645480,1044480,29990
alloc failed. 24146317,24647520,1052672,30005
alloc failed. 24146317,24649576,1044480,30006
alloc failed. 24146317,24651616,1052672,30009
alloc failed. 24146317,7134784,1052672,408926
alloc failed. 24146317,7136840,1011712,408927
alloc failed. 24146318,7138816,1052672,30035
alloc failed. 24146318,7140872,1044480,30036
alloc failed. 24146318,7142912,1052672,30037
alloc failed. 24146318,7144968,1044480,30038
hit ratio:0.72521,time:15082
hit ratio:0.6502,time:25522
hit ratio:0.689677,time:36647
hit ratio:0.6719,time:44262
hit ratio:0.657918,time:65696
hit ratio:0.678433,time:86055
hit ratio:0.694217,time:101511
hit ratio:0.691804,time:118016
hit ratio:0.692846,time:130790
hit ratio:0.686033,time:147573
hit ratio:0.698955,time:163976
hit ratio:0.694978,time:177348
hit ratio:0.694981,time:199156
hit ratio:0.702023,time:210335
hit ratio:0.701286,time:217517
hit ratio:0.699503,time:240147
hit ratio:0.703038,time:259018
hit ratio:0.702962,time:285511
hit ratio:0.707288,time:309943
hit ratio:0.684479,time:311599
hit ratio:0.657527,time:313336
hit ratio:0.650433,time:328819
hit ratio:0.655443,time:349496
hit ratio:0.657076,time:373135
hit ratio:0.655001,time:383082
hit ratio:0.656375,time:395242
hit ratio:0.656096,time:410003
hit ratio:0.659669,time:428070
hit ratio:0.658747,time:446171
hit ratio:0.6656,time:467822
hit ratio:0.664848,time:480517
hit ratio:0.664951,time:496888
hit ratio:0.668173,time:514714
hit ratio:0.667265,time:529386
hit ratio:0.672874,time:546792
hit ratio:0.670319,time:552900
hit ratio:0.672148,time:567952
hit ratio:0.672114,time:582925
hit ratio:0.674515,time:601110
EOF
hit ratio:0.674605,time:606815
num_requests:3937240,throughput:6.48837reqs/sec,
