Cache Initialized. size: 256MB
alloc failed. 19937710,49925015,524288,131523
alloc failed. 19937715,49927063,524288,349299
alloc failed. 19937715,49928087,524288,47897
alloc failed. 19937730,49937159,368640,214879
alloc failed. 19937740,49941983,438272,503774
alloc failed. 19937740,49942847,421888,49742
hit ratio:0.29042,time:23811
hit ratio:0.27832,time:48841
hit ratio:0.25952,time:64034
hit ratio:0.239153,time:72707
hit ratio:0.230102,time:82045
hit ratio:0.222218,time:90814
hit ratio:0.224441,time:105374
hit ratio:0.229638,time:128856
hit ratio:0.229632,time:147345
hit ratio:0.221037,time:154819
hit ratio:0.218585,time:164714
hit ratio:0.216418,time:174765
hit ratio:0.212512,time:183570
hit ratio:0.218439,time:207466
hit ratio:0.218619,time:227426
hit ratio:0.215791,time:237519
hit ratio:0.213739,time:246096
hit ratio:0.212728,time:255380
hit ratio:0.209341,time:262330
hit ratio:0.210531,time:276479
hit ratio:0.21297,time:299119
hit ratio:0.21389,time:317455
hit ratio:0.211242,time:325033
hit ratio:0.21037,time:334069
hit ratio:0.210123,time:343725
hit ratio:0.208413,time:351400
hit ratio:0.210786,time:370474
hit ratio:0.21221,time:393148
hit ratio:0.212629,time:408558
hit ratio:0.210774,time:415900
hit ratio:0.210474,time:425385
hit ratio:0.210258,time:434843
hit ratio:0.209792,time:447778
hit ratio:0.213533,time:482339
hit ratio:0.214278,time:499860
hit ratio:0.214051,time:514225
hit ratio:0.216403,time:540190
EOF
hit ratio:0.219147,time:567665
num_requests:3768450,throughput:6.63851reqs/sec,
