Hits Per Slab Rebalancing init. Cache Initialized. size: 4GB
hit ratio:0.35719,time:27649
hit ratio:0.35805,time:49187
hit ratio:0.338047,time:63392
hit ratio:0.317795,time:71397
hit ratio:0.308892,time:81036
hit ratio:0.30349,time:90155
hit ratio:0.309269,time:105877
hit ratio:0.317135,time:128590
hit ratio:0.320242,time:146497
hit ratio:0.315118,time:154158
hit ratio:0.31138,time:162445
hit ratio:0.309599,time:171605
hit ratio:0.308424,time:179957
hit ratio:0.31394,time:198617
hit ratio:0.319563,time:221475
hit ratio:0.320673,time:236240
hit ratio:0.317699,time:243035
hit ratio:0.317015,time:253480
hit ratio:0.315947,time:262199
hit ratio:0.317914,time:274912
hit ratio:0.325155,time:299539
hit ratio:0.328317,time:319192
hit ratio:0.32733,time:327012
hit ratio:0.326352,time:336289
hit ratio:0.32602,time:346657
hit ratio:0.327081,time:357712
hit ratio:0.332448,time:382578
hit ratio:0.336346,time:401028
hit ratio:0.336099,time:413236
hit ratio:0.335856,time:421973
hit ratio:0.335752,time:433265
hit ratio:0.337261,time:447982
hit ratio:0.345334,time:482966
hit ratio:0.347257,time:500546
hit ratio:0.348852,time:516704
hit ratio:0.352942,time:543276
EOF
hit ratio:0.3581,time:568780
num_requests:3664418,throughput:6.44259reqs/sec,
