Cache Initialized. size: 16GB
hit ratio:0.22723,time:752
hit ratio:0.292875,time:1502
hit ratio:0.334857,time:2269
hit ratio:0.36719,time:3058
hit ratio:0.393678,time:3887
hit ratio:0.416513,time:4691
hit ratio:0.43591,time:5499
hit ratio:0.45304,time:6288
hit ratio:0.467267,time:7069
hit ratio:0.480535,time:7850
hit ratio:0.492839,time:8632
hit ratio:0.502815,time:9403
hit ratio:0.509642,time:10171
hit ratio:0.515226,time:10958
hit ratio:0.519081,time:11710
hit ratio:0.521921,time:12459
alloc failed. 12745,1382494053,1311,3424385
hit ratio:0.524055,time:13218
alloc failed. 13338,1326560742,10,9223372036854775807
hit ratio:0.525987,time:13989
hit ratio:0.527868,time:14779
hit ratio:0.529577,time:15563
hit ratio:0.531075,time:16326
hit ratio:0.532385,time:17096
hit ratio:0.534324,time:17882
hit ratio:0.53602,time:18651
alloc failed. 19315,18446744071852483641,516,9223372036854775807
hit ratio:0.537369,time:19404
hit ratio:0.538886,time:20166
hit ratio:0.5406,time:20916
hit ratio:0.54264,time:21684
hit ratio:0.544782,time:22433
hit ratio:0.546934,time:23194
hit ratio:0.549273,time:23950
hit ratio:0.55151,time:24700
hit ratio:0.553589,time:25449
hit ratio:0.555671,time:26192
hit ratio:0.557825,time:26922
hit ratio:0.559957,time:27632
hit ratio:0.562031,time:28328
hit ratio:0.564074,time:29007
hit ratio:0.566078,time:29670
hit ratio:0.56794,time:30328
hit ratio:0.569921,time:30962
hit ratio:0.571998,time:31590
hit ratio:0.573951,time:32207
hit ratio:0.575854,time:32829
hit ratio:0.577726,time:33441
hit ratio:0.579621,time:34046
hit ratio:0.581365,time:34657
hit ratio:0.583131,time:35265
hit ratio:0.584898,time:35879
hit ratio:0.586658,time:36490
hit ratio:0.588225,time:37103
hit ratio:0.589742,time:37709
hit ratio:0.591257,time:38320
hit ratio:0.592688,time:38931
hit ratio:0.594086,time:39552
hit ratio:0.595337,time:40180
hit ratio:0.596515,time:40816
hit ratio:0.597661,time:41477
hit ratio:0.598709,time:42155
hit ratio:0.599668,time:42853
hit ratio:0.600618,time:43587
hit ratio:0.601461,time:44347
hit ratio:0.60208,time:45128
hit ratio:0.602817,time:45948
hit ratio:0.603377,time:46824
hit ratio:0.603842,time:47725
hit ratio:0.604205,time:48696
hit ratio:0.604712,time:49747
hit ratio:0.605019,time:50827
hit ratio:0.605237,time:51970
hit ratio:0.60542,time:53199
hit ratio:0.605447,time:54518
hit ratio:0.605271,time:55860
hit ratio:0.604848,time:57231
hit ratio:0.604579,time:58841
hit ratio:0.604192,time:60573
hit ratio:0.60408,time:62284
hit ratio:0.603784,time:64128
hit ratio:0.603387,time:65924
hit ratio:0.602842,time:67552
hit ratio:0.602398,time:69081
hit ratio:0.602079,time:70500
hit ratio:0.601969,time:71838
hit ratio:0.602019,time:73063
hit ratio:0.602164,time:74185
hit ratio:0.602434,time:75243
hit ratio:0.602825,time:76275
hit ratio:0.603333,time:77261
hit ratio:0.60387,time:78215
hit ratio:0.604412,time:79138
alloc failed. 79801,18446744073648702186,208,9223372036854775807
hit ratio:0.604959,time:80051
hit ratio:0.605511,time:80948
hit ratio:0.606059,time:81839
hit ratio:0.6066,time:82705
hit ratio:0.607285,time:83577
hit ratio:0.6079,time:84442
hit ratio:0.608575,time:85308
hit ratio:0.609266,time:86174
hit ratio:0.609935,time:87040
hit ratio:0.610568,time:87900
hit ratio:0.611279,time:88767
hit ratio:0.611984,time:89637
hit ratio:0.612693,time:90508
hit ratio:0.613443,time:91374
hit ratio:0.614195,time:92227
hit ratio:0.614889,time:93075
hit ratio:0.615631,time:93916
hit ratio:0.616329,time:94749
hit ratio:0.617028,time:95584
hit ratio:0.617717,time:96405
hit ratio:0.618444,time:97227
hit ratio:0.619213,time:98056
hit ratio:0.620011,time:98877
hit ratio:0.620741,time:99690
hit ratio:0.621465,time:100502
hit ratio:0.622175,time:101312
hit ratio:0.622863,time:102104
hit ratio:0.623525,time:102901
hit ratio:0.624131,time:103693
hit ratio:0.624741,time:104476
hit ratio:0.625375,time:105238
hit ratio:0.625978,time:105994
hit ratio:0.626574,time:106743
hit ratio:0.627232,time:107474
hit ratio:0.627841,time:108170
hit ratio:0.628446,time:108872
hit ratio:0.629017,time:109577
alloc failed. 110263,18446744072161380024,1047,74289992
hit ratio:0.629643,time:110283
hit ratio:0.630294,time:110970
hit ratio:0.630915,time:111643
hit ratio:0.631468,time:112307
hit ratio:0.632048,time:112970
hit ratio:0.632658,time:113627
hit ratio:0.633272,time:114270
hit ratio:0.633948,time:114894
hit ratio:0.634597,time:115510
hit ratio:0.635214,time:116124
hit ratio:0.635818,time:116724
hit ratio:0.636407,time:117305
hit ratio:0.636973,time:117897
hit ratio:0.637587,time:118476
hit ratio:0.638236,time:119042
hit ratio:0.638897,time:119593
hit ratio:0.639515,time:120143
hit ratio:0.640152,time:120686
hit ratio:0.640801,time:121213
hit ratio:0.641442,time:121753
hit ratio:0.642048,time:122295
hit ratio:0.642642,time:122833
hit ratio:0.643262,time:123358
hit ratio:0.643853,time:123891
hit ratio:0.644402,time:124445
hit ratio:0.644916,time:125010
alloc failed. 125051,864074957,635,9223372036854775807
hit ratio:0.645444,time:125566
hit ratio:0.645963,time:126120
hit ratio:0.646481,time:126691
hit ratio:0.646966,time:127291
hit ratio:0.647412,time:127896
hit ratio:0.647852,time:128525
hit ratio:0.648233,time:129168
hit ratio:0.648611,time:129821
