Cache Initialized. size: 256MB
alloc failed. 49,18446744072053118689,1019737,3597941
alloc failed. 75,479917855,616427,127042
alloc failed. 93,18446744071934168961,1088120,71851
alloc failed. 318,18446744073342685186,861837,7968941
alloc failed. 578,18446744073478564988,1670717,31898023
alloc failed. 595,1324475889,1365361,224169
hit ratio:0.12063,time:752
alloc failed. 812,302475319,1774,1033473
alloc failed. 931,1897812618,2014,427677
alloc failed. 1048,517129054,2626,69072033
alloc failed. 1179,18446744071803150329,3165,23482565
hit ratio:0.12654,time:1502
hit ratio:0.125397,time:2269
alloc failed. 2937,18446744072509434065,1962608,385691
hit ratio:0.125282,time:3058
hit ratio:0.125414,time:3887
hit ratio:0.126493,time:4691
hit ratio:0.127116,time:5499
hit ratio:0.127497,time:6288
hit ratio:0.127531,time:7069
hit ratio:0.127405,time:7850
hit ratio:0.127592,time:8632
hit ratio:0.127513,time:9403
hit ratio:0.127522,time:10171
hit ratio:0.127775,time:10958
hit ratio:0.127885,time:11710
hit ratio:0.127602,time:12459
alloc failed. 12745,1382494053,1311,3424385
hit ratio:0.127252,time:13218
alloc failed. 13338,1326560742,10,9223372036854775807
hit ratio:0.127096,time:13989
hit ratio:0.127008,time:14779
hit ratio:0.127112,time:15563
hit ratio:0.127254,time:16326
hit ratio:0.127267,time:17096
hit ratio:0.127675,time:17882
hit ratio:0.127752,time:18651
alloc failed. 19315,18446744071852483641,516,9223372036854775807
hit ratio:0.127935,time:19404
hit ratio:0.128224,time:20166
hit ratio:0.128584,time:20916
hit ratio:0.12913,time:21684
hit ratio:0.129955,time:22433
hit ratio:0.13066,time:23194
hit ratio:0.131436,time:23950
hit ratio:0.132138,time:24700
hit ratio:0.133061,time:25449
hit ratio:0.133817,time:26192
hit ratio:0.134655,time:26922
hit ratio:0.135451,time:27632
hit ratio:0.136249,time:28328
hit ratio:0.136988,time:29007
hit ratio:0.137794,time:29670
hit ratio:0.138506,time:30328
hit ratio:0.139285,time:30962
hit ratio:0.140216,time:31590
hit ratio:0.141091,time:32207
hit ratio:0.141826,time:32829
hit ratio:0.142611,time:33441
hit ratio:0.143425,time:34046
hit ratio:0.144097,time:34657
hit ratio:0.144747,time:35265
hit ratio:0.145498,time:35879
hit ratio:0.146267,time:36490
hit ratio:0.146885,time:37103
hit ratio:0.147477,time:37709
hit ratio:0.148014,time:38320
hit ratio:0.148395,time:38931
hit ratio:0.148762,time:39552
hit ratio:0.149016,time:40180
hit ratio:0.149218,time:40816
hit ratio:0.149432,time:41477
hit ratio:0.14966,time:42155
hit ratio:0.149839,time:42853
hit ratio:0.150013,time:43587
hit ratio:0.150101,time:44347
hit ratio:0.150019,time:45128
hit ratio:0.150007,time:45948
hit ratio:0.150002,time:46824
hit ratio:0.150028,time:47725
hit ratio:0.149958,time:48696
hit ratio:0.149997,time:49747
hit ratio:0.149968,time:50827
hit ratio:0.149875,time:51970
hit ratio:0.14976,time:53199
hit ratio:0.149731,time:54518
hit ratio:0.149583,time:55860
hit ratio:0.149309,time:57231
hit ratio:0.149281,time:58841
hit ratio:0.149295,time:60573
hit ratio:0.149691,time:62284
hit ratio:0.149711,time:64128
hit ratio:0.149459,time:65924
hit ratio:0.149097,time:67552
hit ratio:0.148777,time:69081
hit ratio:0.148485,time:70500
hit ratio:0.148279,time:71838
hit ratio:0.148163,time:73063
hit ratio:0.148066,time:74185
hit ratio:0.148014,time:75243
hit ratio:0.147965,time:76275
hit ratio:0.147968,time:77261
hit ratio:0.147959,time:78215
hit ratio:0.14799,time:79138
alloc failed. 79801,18446744073648702186,208,9223372036854775807
hit ratio:0.147995,time:80051
hit ratio:0.147986,time:80948
hit ratio:0.147949,time:81839
hit ratio:0.147913,time:82705
hit ratio:0.147948,time:83577
hit ratio:0.147887,time:84442
hit ratio:0.147839,time:85308
hit ratio:0.147832,time:86174
hit ratio:0.147833,time:87040
hit ratio:0.147778,time:87900
hit ratio:0.147755,time:88767
hit ratio:0.147748,time:89637
hit ratio:0.147719,time:90508
hit ratio:0.147711,time:91374
hit ratio:0.147707,time:92227
hit ratio:0.147691,time:93075
hit ratio:0.147686,time:93916
hit ratio:0.147641,time:94749
hit ratio:0.147641,time:95584
hit ratio:0.147596,time:96405
hit ratio:0.147558,time:97227
hit ratio:0.14755,time:98056
hit ratio:0.147522,time:98877
hit ratio:0.147508,time:99690
hit ratio:0.147482,time:100502
hit ratio:0.147519,time:101312
hit ratio:0.147621,time:102104
hit ratio:0.147643,time:102901
hit ratio:0.147641,time:103693
hit ratio:0.14764,time:104476
hit ratio:0.147649,time:105238
hit ratio:0.147661,time:105994
