Cache Initialized. size: 512MB
alloc failed. 318,18446744073342685186,861837,7968941
alloc failed. 578,18446744073478564988,1670717,31898023
alloc failed. 595,1324475889,1365361,224169
hit ratio:0.15372,time:752
alloc failed. 812,302475319,1774,1033473
alloc failed. 931,1897812618,2014,427677
alloc failed. 1048,517129054,2626,69072033
alloc failed. 1179,18446744071803150329,3165,23482565
hit ratio:0.16734,time:1502
hit ratio:0.172803,time:2269
alloc failed. 2937,18446744072509434065,1962608,385691
hit ratio:0.176107,time:3058
hit ratio:0.178436,time:3887
hit ratio:0.180935,time:4691
hit ratio:0.18267,time:5499
hit ratio:0.184078,time:6288
hit ratio:0.184544,time:7069
hit ratio:0.184925,time:7850
hit ratio:0.185615,time:8632
hit ratio:0.185874,time:9403
hit ratio:0.186185,time:10171
hit ratio:0.186694,time:10958
hit ratio:0.186869,time:11710
hit ratio:0.186724,time:12459
alloc failed. 12745,1382494053,1311,3424385
hit ratio:0.186525,time:13218
alloc failed. 13338,1326560742,10,9223372036854775807
hit ratio:0.186422,time:13989
hit ratio:0.186482,time:14779
hit ratio:0.186703,time:15563
hit ratio:0.186852,time:16326
hit ratio:0.186929,time:17096
hit ratio:0.187513,time:17882
hit ratio:0.187718,time:18651
alloc failed. 19315,18446744071852483641,516,9223372036854775807
hit ratio:0.18794,time:19404
hit ratio:0.188335,time:20166
hit ratio:0.188893,time:20916
hit ratio:0.189584,time:21684
hit ratio:0.190582,time:22433
hit ratio:0.191504,time:23194
hit ratio:0.192498,time:23950
hit ratio:0.1934,time:24700
hit ratio:0.194502,time:25449
hit ratio:0.195476,time:26192
hit ratio:0.196503,time:26922
hit ratio:0.197567,time:27632
hit ratio:0.198607,time:28328
hit ratio:0.19954,time:29007
hit ratio:0.200592,time:29670
hit ratio:0.201518,time:30328
hit ratio:0.202518,time:30962
hit ratio:0.203676,time:31590
hit ratio:0.20473,time:32207
hit ratio:0.20569,time:32829
hit ratio:0.206688,time:33441
hit ratio:0.207753,time:34046
hit ratio:0.208608,time:34657
hit ratio:0.209438,time:35265
hit ratio:0.210365,time:35879
hit ratio:0.211297,time:36490
hit ratio:0.212093,time:37103
hit ratio:0.212823,time:37709
hit ratio:0.213491,time:38320
hit ratio:0.214016,time:38931
hit ratio:0.214574,time:39552
hit ratio:0.214937,time:40180
hit ratio:0.215248,time:40816
hit ratio:0.215517,time:41477
hit ratio:0.215849,time:42155
hit ratio:0.21606,time:42853
hit ratio:0.21631,time:43587
hit ratio:0.216412,time:44347
hit ratio:0.216349,time:45128
hit ratio:0.216361,time:45948
hit ratio:0.216331,time:46824
hit ratio:0.216349,time:47725
hit ratio:0.216266,time:48696
hit ratio:0.216274,time:49747
hit ratio:0.216182,time:50827
hit ratio:0.21598,time:51970
hit ratio:0.215778,time:53199
hit ratio:0.21559,time:54518
hit ratio:0.215297,time:55860
hit ratio:0.21483,time:57231
hit ratio:0.21462,time:58841
hit ratio:0.214461,time:60573
hit ratio:0.214644,time:62284
hit ratio:0.214478,time:64128
hit ratio:0.214047,time:65924
hit ratio:0.213506,time:67552
hit ratio:0.213043,time:69081
hit ratio:0.212581,time:70500
hit ratio:0.212286,time:71838
hit ratio:0.21208,time:73063
hit ratio:0.2119,time:74185
hit ratio:0.211788,time:75243
hit ratio:0.211681,time:76275
hit ratio:0.211683,time:77261
hit ratio:0.211639,time:78215
hit ratio:0.211657,time:79138
alloc failed. 79801,18446744073648702186,208,9223372036854775807
hit ratio:0.21165,time:80051
hit ratio:0.211672,time:80948
hit ratio:0.211665,time:81839
hit ratio:0.211652,time:82705
hit ratio:0.211708,time:83577
hit ratio:0.211693,time:84442
hit ratio:0.211693,time:85308
hit ratio:0.211736,time:86174
hit ratio:0.211776,time:87040
hit ratio:0.211759,time:87900
hit ratio:0.211786,time:88767
hit ratio:0.21185,time:89637
hit ratio:0.211883,time:90508
hit ratio:0.211931,time:91374
hit ratio:0.211995,time:92227
hit ratio:0.212043,time:93075
hit ratio:0.212111,time:93916
hit ratio:0.212114,time:94749
hit ratio:0.212159,time:95584
hit ratio:0.212184,time:96405
hit ratio:0.212175,time:97227
hit ratio:0.212234,time:98056
hit ratio:0.212263,time:98877
hit ratio:0.212296,time:99690
hit ratio:0.212341,time:100502
hit ratio:0.212432,time:101312
hit ratio:0.212588,time:102104
hit ratio:0.212677,time:102901
hit ratio:0.212713,time:103693
hit ratio:0.212765,time:104476
hit ratio:0.21282,time:105238
hit ratio:0.212894,time:105994
hit ratio:0.212994,time:106743
hit ratio:0.213098,time:107474
hit ratio:0.21323,time:108170
hit ratio:0.213375,time:108872
