Cache Initialized. size: 16GB
time,id,size
hit ratio:0.22723,time:752
hit ratio:0.292875,time:1502
hit ratio:0.334857,time:2269
hit ratio:0.36719,time:3058
hit ratio:0.393678,time:3887
hit ratio:0.416513,time:4691
hit ratio:0.43591,time:5499
hit ratio:0.45304,time:6288
hit ratio:0.467267,time:7069
hit ratio:0.480535,time:7850
hit ratio:0.492839,time:8632
hit ratio:0.50248,time:9403
hit ratio:0.50783,time:10171
hit ratio:0.511996,time:10958
hit ratio:0.514901,time:11710
hit ratio:0.516764,time:12459
alloc failed. 12745,1382494053,1311,3424385
hit ratio:0.518181,time:13218
alloc failed. 13338,1326560742,10,9223372036854775807
hit ratio:0.51966,time:13989
hit ratio:0.521197,time:14779
hit ratio:0.522654,time:15563
hit ratio:0.524006,time:16326
hit ratio:0.525235,time:17096
hit ratio:0.527117,time:17882
hit ratio:0.528719,time:18651
alloc failed. 19315,18446744071852483641,516,9223372036854775807
hit ratio:0.529718,time:19404
hit ratio:0.530463,time:20166
hit ratio:0.531081,time:20916
hit ratio:0.531992,time:21684
hit ratio:0.533063,time:22433
hit ratio:0.534278,time:23194
hit ratio:0.535636,time:23950
hit ratio:0.53699,time:24700
hit ratio:0.538231,time:25449
hit ratio:0.539506,time:26192
hit ratio:0.540875,time:26922
hit ratio:0.542251,time:27632
hit ratio:0.543574,time:28328
hit ratio:0.544873,time:29007
hit ratio:0.546207,time:29670
hit ratio:0.547379,time:30328
hit ratio:0.548568,time:30962
hit ratio:0.549905,time:31590
hit ratio:0.551061,time:32207
hit ratio:0.552212,time:32829
hit ratio:0.553363,time:33441
hit ratio:0.554583,time:34046
hit ratio:0.555704,time:34657
hit ratio:0.556861,time:35265
hit ratio:0.558003,time:35879
hit ratio:0.559164,time:36490
hit ratio:0.560095,time:37103
hit ratio:0.561009,time:37709
hit ratio:0.561884,time:38320
hit ratio:0.562724,time:38931
hit ratio:0.563491,time:39552
hit ratio:0.564129,time:40180
hit ratio:0.5647,time:40816
hit ratio:0.565228,time:41477
hit ratio:0.56561,time:42155
hit ratio:0.565922,time:42853
hit ratio:0.566214,time:43587
hit ratio:0.566377,time:44347
hit ratio:0.566343,time:45128
hit ratio:0.566401,time:45948
hit ratio:0.566338,time:46824
hit ratio:0.566187,time:47725
hit ratio:0.565943,time:48696
hit ratio:0.565878,time:49747
hit ratio:0.565604,time:50827
hit ratio:0.565227,time:51970
hit ratio:0.564868,time:53199
hit ratio:0.564419,time:54518
hit ratio:0.563705,time:55860
hit ratio:0.562776,time:57231
hit ratio:0.562052,time:58841
hit ratio:0.561217,time:60573
hit ratio:0.560648,time:62284
hit ratio:0.559848,time:64128
hit ratio:0.558931,time:65924
hit ratio:0.557859,time:67552
hit ratio:0.556855,time:69081
hit ratio:0.555961,time:70500
hit ratio:0.555285,time:71838
hit ratio:0.554728,time:73063
hit ratio:0.554219,time:74185
hit ratio:0.553828,time:75243
hit ratio:0.553536,time:76275
hit ratio:0.553406,time:77261
hit ratio:0.553322,time:78215
hit ratio:0.553366,time:79138
alloc failed. 79801,18446744073648702186,208,9223372036854775807
hit ratio:0.553428,time:80051
hit ratio:0.553518,time:80948
hit ratio:0.553604,time:81839
hit ratio:0.553726,time:82705
hit ratio:0.553933,time:83577
hit ratio:0.554106,time:84442
hit ratio:0.554324,time:85308
hit ratio:0.554604,time:86174
hit ratio:0.554874,time:87040
hit ratio:0.555125,time:87900
hit ratio:0.555419,time:88767
hit ratio:0.555751,time:89637
hit ratio:0.556081,time:90508
hit ratio:0.556453,time:91374
hit ratio:0.556846,time:92227
hit ratio:0.557212,time:93075
hit ratio:0.557621,time:93916
hit ratio:0.557972,time:94749
hit ratio:0.558353,time:95584
hit ratio:0.558696,time:96405
hit ratio:0.559089,time:97227
hit ratio:0.559514,time:98056
hit ratio:0.559951,time:98877
hit ratio:0.560371,time:99690
hit ratio:0.560763,time:100502
hit ratio:0.561157,time:101312
hit ratio:0.561571,time:102104
hit ratio:0.561954,time:102901
hit ratio:0.562294,time:103693
hit ratio:0.562621,time:104476
hit ratio:0.563002,time:105238
hit ratio:0.563357,time:105994
hit ratio:0.563671,time:106743
hit ratio:0.564041,time:107474
hit ratio:0.564422,time:108170
hit ratio:0.564772,time:108872
hit ratio:0.565087,time:109577
alloc failed. 110263,18446744072161380024,1047,74289992
hit ratio:0.565444,time:110283
hit ratio:0.565838,time:110970
hit ratio:0.56615,time:111643
hit ratio:0.566398,time:112307
hit ratio:0.56671,time:112970
hit ratio:0.567049,time:113627
hit ratio:0.567408,time:114270
hit ratio:0.567837,time:114894
hit ratio:0.568248,time:115510
hit ratio:0.568644,time:116124
hit ratio:0.569022,time:116724
hit ratio:0.569383,time:117305
hit ratio:0.569731,time:117897
hit ratio:0.570134,time:118476
hit ratio:0.570565,time:119042
hit ratio:0.570987,time:119593
hit ratio:0.571379,time:120143
hit ratio:0.571814,time:120686
hit ratio:0.572259,time:121213
hit ratio:0.572681,time:121753
hit ratio:0.573075,time:122295
hit ratio:0.573457,time:122833
hit ratio:0.573882,time:123358
hit ratio:0.574277,time:123891
hit ratio:0.574624,time:124445
hit ratio:0.574942,time:125010
alloc failed. 125051,864074957,635,9223372036854775807
hit ratio:0.575273,time:125566
hit ratio:0.575612,time:126120
hit ratio:0.575929,time:126691
hit ratio:0.5762,time:127291
hit ratio:0.576464,time:127896
hit ratio:0.576698,time:128525
hit ratio:0.576885,time:129168
