Hits Per Slab Rebalancing init. Cache Initialized. size: 1GB
alloc failed. 318,18446744073342685186,861837,7968941
alloc failed. 355,18446744072772321884,807186,205554
alloc failed. 578,18446744073478564988,1670717,31898023
alloc failed. 595,1324475889,1365361,224169
hit ratio:0.17832,time:752
alloc failed. 812,302475319,1774,1033473
alloc failed. 931,1897812618,2014,427677
alloc failed. 1048,517129054,2626,69072033
alloc failed. 1179,18446744071803150329,3165,23482565
hit ratio:0.185405,time:1502
hit ratio:0.185623,time:2269
alloc failed. 2937,18446744072509434065,1962608,385691
hit ratio:0.186607,time:3058
hit ratio:0.18737,time:3887
hit ratio:0.18877,time:4691
hit ratio:0.189864,time:5499
hit ratio:0.190765,time:6288
hit ratio:0.190913,time:7069
hit ratio:0.191092,time:7850
hit ratio:0.191571,time:8632
hit ratio:0.191663,time:9403
hit ratio:0.191844,time:10171
hit ratio:0.192156,time:10958
hit ratio:0.191987,time:11710
hit ratio:0.191473,time:12459
alloc failed. 12745,1382494053,1311,3424385
hit ratio:0.190979,time:13218
alloc failed. 13338,1326560742,10,9223372036854775807
hit ratio:0.190652,time:13989
hit ratio:0.190447,time:14779
hit ratio:0.190361,time:15563
hit ratio:0.190281,time:16326
hit ratio:0.190095,time:17096
hit ratio:0.190493,time:17882
hit ratio:0.190498,time:18651
alloc failed. 19315,18446744071852483641,516,9223372036854775807
hit ratio:0.19045,time:19404
hit ratio:0.19063,time:20166
hit ratio:0.190946,time:20916
hit ratio:0.191617,time:21684
hit ratio:0.192503,time:22433
hit ratio:0.193356,time:23194
hit ratio:0.194238,time:23950
hit ratio:0.19505,time:24700
hit ratio:0.195979,time:25449
hit ratio:0.196731,time:26192
hit ratio:0.197626,time:26922
hit ratio:0.198525,time:27632
hit ratio:0.199384,time:28328
hit ratio:0.200141,time:29007
hit ratio:0.201009,time:29670
hit ratio:0.20176,time:30328
hit ratio:0.202564,time:30962
hit ratio:0.203608,time:31590
hit ratio:0.204478,time:32207
hit ratio:0.205271,time:32829
hit ratio:0.206136,time:33441
hit ratio:0.207038,time:34046
hit ratio:0.207719,time:34657
hit ratio:0.20841,time:35265
hit ratio:0.209161,time:35879
hit ratio:0.209972,time:36490
hit ratio:0.210586,time:37103
hit ratio:0.211176,time:37709
hit ratio:0.21174,time:38320
hit ratio:0.212181,time:38931
hit ratio:0.212575,time:39552
hit ratio:0.212852,time:40180
hit ratio:0.213054,time:40816
hit ratio:0.213241,time:41477
hit ratio:0.213447,time:42155
hit ratio:0.213552,time:42853
hit ratio:0.213656,time:43587
hit ratio:0.213656,time:44347
hit ratio:0.213515,time:45128
hit ratio:0.213453,time:45948
hit ratio:0.213381,time:46824
hit ratio:0.21332,time:47725
hit ratio:0.21315,time:48696
hit ratio:0.213145,time:49747
hit ratio:0.213025,time:50827
hit ratio:0.2128,time:51970
hit ratio:0.212562,time:53199
hit ratio:0.21236,time:54518
hit ratio:0.212022,time:55860
hit ratio:0.21154,time:57231
hit ratio:0.211332,time:58841
hit ratio:0.211104,time:60573
hit ratio:0.211256,time:62284
hit ratio:0.211056,time:64128
hit ratio:0.210597,time:65924
hit ratio:0.21004,time:67552
hit ratio:0.209528,time:69081
hit ratio:0.209099,time:70500
hit ratio:0.208792,time:71838
hit ratio:0.208591,time:73063
hit ratio:0.208405,time:74185
hit ratio:0.208286,time:75243
hit ratio:0.208194,time:76275
hit ratio:0.208198,time:77261
hit ratio:0.208201,time:78215
hit ratio:0.208237,time:79138
alloc failed. 79801,18446744073648702186,208,9223372036854775807
hit ratio:0.208258,time:80051
hit ratio:0.20831,time:80948
hit ratio:0.208303,time:81839
hit ratio:0.208302,time:82705
hit ratio:0.208386,time:83577
hit ratio:0.208389,time:84442
hit ratio:0.208394,time:85308
hit ratio:0.208458,time:86174
hit ratio:0.208505,time:87040
hit ratio:0.208499,time:87900
hit ratio:0.208539,time:88767
hit ratio:0.208602,time:89637
hit ratio:0.208651,time:90508
hit ratio:0.208718,time:91374
hit ratio:0.208798,time:92227
hit ratio:0.208873,time:93075
hit ratio:0.20895,time:93916
hit ratio:0.208979,time:94749
hit ratio:0.209027,time:95584
hit ratio:0.209035,time:96405
hit ratio:0.209044,time:97227
hit ratio:0.209091,time:98056
hit ratio:0.209143,time:98877
hit ratio:0.209201,time:99690
hit ratio:0.20926,time:100502
hit ratio:0.209363,time:101312
hit ratio:0.209509,time:102104
hit ratio:0.20958,time:102901
hit ratio:0.209613,time:103693
hit ratio:0.209653,time:104476
hit ratio:0.2097,time:105238
hit ratio:0.209767,time:105994
hit ratio:0.209857,time:106743
hit ratio:0.209957,time:107474
