Hits Per Slab Rebalancing init. Cache Initialized. size: 4GB
hit ratio:0.22723,time:752
hit ratio:0.288995,time:1502
hit ratio:0.304143,time:2269
alloc failed. 2937,18446744072509434065,1962608,385691
hit ratio:0.315217,time:3058
hit ratio:0.32134,time:3887
hit ratio:0.326978,time:4691
hit ratio:0.331399,time:5499
hit ratio:0.334364,time:6288
hit ratio:0.336406,time:7069
hit ratio:0.338254,time:7850
hit ratio:0.340171,time:8632
hit ratio:0.341525,time:9403
hit ratio:0.342535,time:10171
hit ratio:0.343739,time:10958
hit ratio:0.344173,time:11710
hit ratio:0.344036,time:12459
alloc failed. 12745,1382494053,1311,3424385
hit ratio:0.343662,time:13218
alloc failed. 13338,1326560742,10,9223372036854775807
hit ratio:0.343489,time:13989
hit ratio:0.343485,time:14779
hit ratio:0.343346,time:15563
hit ratio:0.343239,time:16326
hit ratio:0.342889,time:17096
hit ratio:0.343231,time:17882
hit ratio:0.343257,time:18651
alloc failed. 19315,18446744071852483641,516,9223372036854775807
hit ratio:0.34322,time:19404
hit ratio:0.343345,time:20166
hit ratio:0.343602,time:20916
hit ratio:0.344338,time:21684
hit ratio:0.345234,time:22433
hit ratio:0.346267,time:23194
hit ratio:0.347323,time:23950
hit ratio:0.348417,time:24700
hit ratio:0.349464,time:25449
hit ratio:0.350374,time:26192
hit ratio:0.351424,time:26922
hit ratio:0.352517,time:27632
hit ratio:0.353537,time:28328
hit ratio:0.354502,time:29007
hit ratio:0.355529,time:29670
hit ratio:0.356467,time:30328
hit ratio:0.357448,time:30962
hit ratio:0.35862,time:31590
hit ratio:0.359723,time:32207
hit ratio:0.36067,time:32829
hit ratio:0.361746,time:33441
hit ratio:0.362898,time:34046
hit ratio:0.363818,time:34657
hit ratio:0.364709,time:35265
hit ratio:0.365702,time:35879
hit ratio:0.366672,time:36490
hit ratio:0.367475,time:37103
hit ratio:0.368227,time:37709
hit ratio:0.368917,time:38320
hit ratio:0.369547,time:38931
hit ratio:0.370138,time:39552
hit ratio:0.370561,time:40180
hit ratio:0.370949,time:40816
hit ratio:0.371281,time:41477
hit ratio:0.371516,time:42155
hit ratio:0.37167,time:42853
hit ratio:0.371792,time:43587
hit ratio:0.37176,time:44347
hit ratio:0.371566,time:45128
hit ratio:0.371426,time:45948
hit ratio:0.371274,time:46824
hit ratio:0.371059,time:47725
hit ratio:0.370732,time:48696
hit ratio:0.370583,time:49747
hit ratio:0.370279,time:50827
hit ratio:0.369865,time:51970
hit ratio:0.369374,time:53199
hit ratio:0.368878,time:54518
hit ratio:0.36818,time:55860
hit ratio:0.367343,time:57231
hit ratio:0.366729,time:58841
hit ratio:0.366039,time:60573
hit ratio:0.365706,time:62284
hit ratio:0.365077,time:64128
hit ratio:0.364244,time:65924
hit ratio:0.363308,time:67552
hit ratio:0.362433,time:69081
hit ratio:0.361638,time:70500
hit ratio:0.361072,time:71838
hit ratio:0.36065,time:73063
hit ratio:0.360284,time:74185
hit ratio:0.359992,time:75243
hit ratio:0.359783,time:76275
hit ratio:0.359706,time:77261
hit ratio:0.359689,time:78215
hit ratio:0.359703,time:79138
alloc failed. 79801,18446744073648702186,208,9223372036854775807
hit ratio:0.359729,time:80051
hit ratio:0.359778,time:80948
hit ratio:0.359783,time:81839
hit ratio:0.359832,time:82705
hit ratio:0.359944,time:83577
hit ratio:0.359999,time:84442
hit ratio:0.360077,time:85308
hit ratio:0.360222,time:86174
hit ratio:0.360337,time:87040
hit ratio:0.360425,time:87900
hit ratio:0.360555,time:88767
hit ratio:0.360736,time:89637
hit ratio:0.360925,time:90508
hit ratio:0.361136,time:91374
hit ratio:0.361366,time:92227
hit ratio:0.361578,time:93075
hit ratio:0.361824,time:93916
hit ratio:0.36199,time:94749
hit ratio:0.362174,time:95584
hit ratio:0.362312,time:96405
hit ratio:0.362457,time:97227
hit ratio:0.362704,time:98056
hit ratio:0.362983,time:98877
hit ratio:0.363264,time:99690
hit ratio:0.363482,time:100502
hit ratio:0.363722,time:101312
hit ratio:0.363966,time:102104
hit ratio:0.364166,time:102901
hit ratio:0.36432,time:103693
hit ratio:0.364477,time:104476
hit ratio:0.364653,time:105238
hit ratio:0.364824,time:105994
hit ratio:0.365007,time:106743
hit ratio:0.365227,time:107474
hit ratio:0.365487,time:108170
hit ratio:0.365727,time:108872
hit ratio:0.365933,time:109577
alloc failed. 110263,18446744072161380024,1047,74289992
hit ratio:0.366198,time:110283
hit ratio:0.366554,time:110970
hit ratio:0.366818,time:111643
hit ratio:0.367005,time:112307
hit ratio:0.367275,time:112970
hit ratio:0.367548,time:113627
hit ratio:0.367852,time:114270
hit ratio:0.368261,time:114894
hit ratio:0.36862,time:115510
hit ratio:0.368958,time:116124
hit ratio:0.369293,time:116724
hit ratio:0.369611,time:117305
hit ratio:0.369911,time:117897
hit ratio:0.370272,time:118476
hit ratio:0.370705,time:119042
hit ratio:0.371087,time:119593
hit ratio:0.371416,time:120143
hit ratio:0.371793,time:120686
hit ratio:0.372233,time:121213
hit ratio:0.372618,time:121753
hit ratio:0.372947,time:122295
hit ratio:0.373252,time:122833
hit ratio:0.373637,time:123358
hit ratio:0.374024,time:123891
hit ratio:0.374332,time:124445
hit ratio:0.374616,time:125010
alloc failed. 125051,864074957,635,9223372036854775807
hit ratio:0.374943,time:125566
hit ratio:0.37527,time:126120
hit ratio:0.375573,time:126691
hit ratio:0.375821,time:127291
hit ratio:0.376047,time:127896
hit ratio:0.376229,time:128525
hit ratio:0.376378,time:129168
hit ratio:0.376537,time:129821
hit ratio:0.376665,time:130476
hit ratio:0.376693,time:131153
hit ratio:0.376705,time:131866
hit ratio:0.376711,time:132608
hit ratio:0.376666,time:133400
hit ratio:0.376596,time:134221
hit ratio:0.376509,time:135077
hit ratio:0.376404,time:135990
hit ratio:0.376292,time:136968
hit ratio:0.376123,time:138012
hit ratio:0.375917,time:139153
hit ratio:0.375671,time:140361
hit ratio:0.375371,time:141679
hit ratio:0.375015,time:143082
hit ratio:0.374584,time:144600
hit ratio:0.374126,time:146262
hit ratio:0.373619,time:147978
hit ratio:0.373065,time:149766
hit ratio:0.372517,time:151575
hit ratio:0.372018,time:153328
hit ratio:0.371576,time:154943
hit ratio:0.371196,time:156414
hit ratio:0.370894,time:157787
hit ratio:0.370677,time:159047
hit ratio:0.370499,time:160246
hit ratio:0.370391,time:161369
hit ratio:0.370345,time:162419
hit ratio:0.370368,time:163401
hit ratio:0.370376,time:164345
hit ratio:0.370415,time:165273
hit ratio:0.370462,time:166170
hit ratio:0.370511,time:167055
hit ratio:0.370564,time:167920
hit ratio:0.370653,time:168773
hit ratio:0.370716,time:169615
hit ratio:0.370753,time:170446
hit ratio:0.370754,time:171241
hit ratio:0.370766,time:172025
hit ratio:0.370816,time:172814
hit ratio:0.370874,time:173611
hit ratio:0.37091,time:174411
hit ratio:0.370957,time:175200
hit ratio:0.371033,time:176000
hit ratio:0.371106,time:176800
hit ratio:0.371159,time:177606
hit ratio:0.37122,time:178410
hit ratio:0.371287,time:179198
hit ratio:0.371368,time:179987
hit ratio:0.37146,time:180777
hit ratio:0.371574,time:181553
hit ratio:0.37166,time:182336
hit ratio:0.371791,time:183102
hit ratio:0.371958,time:183872
alloc failed. 184361,18446744072531148787,155,9223372036854775807
hit ratio:0.372056,time:184615
hit ratio:0.372197,time:185318
hit ratio:0.372317,time:186027
hit ratio:0.372435,time:186743
hit ratio:0.372574,time:187488
hit ratio:0.372704,time:188221
hit ratio:0.372809,time:188955
hit ratio:0.372907,time:189663
hit ratio:0.373015,time:190371
hit ratio:0.373134,time:191087
hit ratio:0.373232,time:191796
hit ratio:0.373359,time:192472
hit ratio:0.373471,time:193152
hit ratio:0.37358,time:193832
hit ratio:0.373704,time:194495
hit ratio:0.373794,time:195163
hit ratio:0.373894,time:195826
hit ratio:0.374019,time:196490
hit ratio:0.37414,time:197146
hit ratio:0.374262,time:197779
hit ratio:0.374372,time:198407
hit ratio:0.374475,time:199015
hit ratio:0.374553,time:199618
hit ratio:0.37463,time:200211
hit ratio:0.374709,time:200790
hit ratio:0.374857,time:201348
hit ratio:0.374948,time:201921
hit ratio:0.375048,time:202478
hit ratio:0.375154,time:203043
hit ratio:0.375288,time:203588
hit ratio:0.375418,time:204118
hit ratio:0.375521,time:204654
hit ratio:0.375644,time:205180
hit ratio:0.375788,time:205700
hit ratio:0.375904,time:206221
hit ratio:0.376078,time:206723
hit ratio:0.376251,time:207220
hit ratio:0.376417,time:207727
hit ratio:0.376532,time:208238
hit ratio:0.376654,time:208761
hit ratio:0.376829,time:209280
hit ratio:0.376986,time:209796
hit ratio:0.377125,time:210310
hit ratio:0.377236,time:210834
hit ratio:0.377356,time:211356
hit ratio:0.377473,time:211876
hit ratio:0.377577,time:212401
hit ratio:0.377644,time:212933
hit ratio:0.377687,time:213476
hit ratio:0.377715,time:214025
hit ratio:0.377735,time:214587
hit ratio:0.377745,time:215152
hit ratio:0.377757,time:215736
hit ratio:0.377754,time:216339
hit ratio:0.377743,time:216952
hit ratio:0.377718,time:217597
hit ratio:0.37766,time:218259
hit ratio:0.377603,time:218949
hit ratio:0.377522,time:219669
hit ratio:0.377449,time:220436
hit ratio:0.377357,time:221244
hit ratio:0.377234,time:222104
hit ratio:0.377095,time:223015
hit ratio:0.376952,time:223990
hit ratio:0.37677,time:225013
hit ratio:0.376551,time:226093
hit ratio:0.37626,time:227252
hit ratio:0.375932,time:228472
hit ratio:0.37564,time:229809
hit ratio:0.375326,time:231291
hit ratio:0.375028,time:232914
hit ratio:0.374658,time:234588
hit ratio:0.37424,time:236237
hit ratio:0.373846,time:237886
hit ratio:0.373469,time:239502
hit ratio:0.373132,time:241019
hit ratio:0.37285,time:242425
hit ratio:0.372605,time:243721
