Cache Initialized. size: 512MB
time,id,size
alloc failed. 318,18446744073342685186,861837,7968941
alloc failed. 578,18446744073478564988,1670717,31898023
alloc failed. 595,1324475889,1365361,224169
hit ratio:0.14032,time:752
alloc failed. 812,302475319,1774,1033473
alloc failed. 931,1897812618,2014,427677
alloc failed. 1048,517129054,2626,69072033
alloc failed. 1179,18446744071803150329,3165,23482565
hit ratio:0.141185,time:1502
hit ratio:0.139483,time:2269
alloc failed. 2937,18446744072509434065,1962608,385691
hit ratio:0.139003,time:3058
hit ratio:0.138978,time:3887
hit ratio:0.13982,time:4691
hit ratio:0.140373,time:5499
hit ratio:0.140703,time:6288
hit ratio:0.1406,time:7069
hit ratio:0.140496,time:7850
hit ratio:0.140596,time:8632
hit ratio:0.14045,time:9403
hit ratio:0.140456,time:10171
hit ratio:0.140621,time:10958
hit ratio:0.140454,time:11710
hit ratio:0.13996,time:12459
alloc failed. 12745,1382494053,1311,3424385
hit ratio:0.139489,time:13218
alloc failed. 13338,1326560742,10,9223372036854775807
hit ratio:0.139159,time:13989
hit ratio:0.138948,time:14779
hit ratio:0.138833,time:15563
hit ratio:0.138792,time:16326
hit ratio:0.138642,time:17096
hit ratio:0.139003,time:17882
hit ratio:0.139056,time:18651
alloc failed. 19315,18446744071852483641,516,9223372036854775807
hit ratio:0.139035,time:19404
hit ratio:0.139203,time:20166
hit ratio:0.139563,time:20916
hit ratio:0.140161,time:21684
hit ratio:0.140951,time:22433
hit ratio:0.141681,time:23194
hit ratio:0.142419,time:23950
hit ratio:0.143098,time:24700
hit ratio:0.143958,time:25449
hit ratio:0.14462,time:26192
hit ratio:0.145365,time:26922
hit ratio:0.146073,time:27632
hit ratio:0.146774,time:28328
hit ratio:0.147393,time:29007
hit ratio:0.148134,time:29670
hit ratio:0.148782,time:30328
hit ratio:0.149454,time:30962
hit ratio:0.150334,time:31590
hit ratio:0.15107,time:32207
hit ratio:0.151715,time:32829
hit ratio:0.15243,time:33441
hit ratio:0.153153,time:34046
hit ratio:0.15371,time:34657
hit ratio:0.15428,time:35265
hit ratio:0.154917,time:35879
hit ratio:0.155604,time:36490
hit ratio:0.156106,time:37103
hit ratio:0.156588,time:37709
hit ratio:0.157027,time:38320
hit ratio:0.157366,time:38931
hit ratio:0.157667,time:39552
hit ratio:0.157882,time:40180
hit ratio:0.158027,time:40816
hit ratio:0.158177,time:41477
hit ratio:0.158362,time:42155
hit ratio:0.158454,time:42853
hit ratio:0.158546,time:43587
hit ratio:0.158562,time:44347
hit ratio:0.158447,time:45128
hit ratio:0.158429,time:45948
hit ratio:0.15839,time:46824
hit ratio:0.158389,time:47725
hit ratio:0.158305,time:48696
hit ratio:0.158354,time:49747
hit ratio:0.15833,time:50827
hit ratio:0.15824,time:51970
hit ratio:0.158134,time:53199
hit ratio:0.158102,time:54518
hit ratio:0.157958,time:55860
hit ratio:0.157671,time:57231
hit ratio:0.157656,time:58841
hit ratio:0.157658,time:60573
hit ratio:0.158024,time:62284
hit ratio:0.158026,time:64128
hit ratio:0.157772,time:65924
hit ratio:0.157422,time:67552
hit ratio:0.157107,time:69081
hit ratio:0.156842,time:70500
hit ratio:0.156661,time:71838
hit ratio:0.156564,time:73063
hit ratio:0.156477,time:74185
hit ratio:0.15643,time:75243
hit ratio:0.156393,time:76275
hit ratio:0.156435,time:77261
hit ratio:0.156462,time:78215
hit ratio:0.156512,time:79138
alloc failed. 79801,18446744073648702186,208,9223372036854775807
hit ratio:0.156547,time:80051
hit ratio:0.156597,time:80948
hit ratio:0.156587,time:81839
hit ratio:0.156587,time:82705
hit ratio:0.156649,time:83577
hit ratio:0.156633,time:84442
hit ratio:0.1566,time:85308
hit ratio:0.156629,time:86174
hit ratio:0.156648,time:87040
hit ratio:0.156621,time:87900
hit ratio:0.156615,time:88767
hit ratio:0.15663,time:89637
hit ratio:0.156625,time:90508
hit ratio:0.15665,time:91374
hit ratio:0.15667,time:92227
hit ratio:0.15669,time:93075
hit ratio:0.156714,time:93916
hit ratio:0.156693,time:94749
hit ratio:0.156697,time:95584
hit ratio:0.156657,time:96405
hit ratio:0.156613,time:97227
hit ratio:0.156611,time:98056
hit ratio:0.156612,time:98877
hit ratio:0.156606,time:99690
hit ratio:0.156596,time:100502
hit ratio:0.156641,time:101312
hit ratio:0.156739,time:102104
hit ratio:0.156773,time:102901
hit ratio:0.156769,time:103693
hit ratio:0.156764,time:104476
hit ratio:0.156777,time:105238
hit ratio:0.15679,time:105994
hit ratio:0.156828,time:106743
hit ratio:0.156872,time:107474
hit ratio:0.156979,time:108170
hit ratio:0.157074,time:108872
