Cache Initialized. size: 32GB
time,id,size
hit ratio:0.22723,time:752
hit ratio:0.292875,time:1502
hit ratio:0.334857,time:2269
hit ratio:0.36719,time:3058
hit ratio:0.393678,time:3887
hit ratio:0.416513,time:4691
hit ratio:0.43591,time:5499
hit ratio:0.45304,time:6288
hit ratio:0.467267,time:7069
hit ratio:0.480535,time:7850
hit ratio:0.492839,time:8632
hit ratio:0.503506,time:9403
hit ratio:0.513258,time:10171
hit ratio:0.522626,time:10958
hit ratio:0.530755,time:11710
hit ratio:0.53775,time:12459
hit ratio:0.544011,time:13218
hit ratio:0.550136,time:13989
hit ratio:0.555947,time:14779
hit ratio:0.561342,time:15563
hit ratio:0.566362,time:16326
hit ratio:0.570902,time:17096
hit ratio:0.575873,time:17882
hit ratio:0.580347,time:18651
hit ratio:0.584313,time:19404
hit ratio:0.588259,time:20166
hit ratio:0.592259,time:20916
hit ratio:0.596351,time:21684
hit ratio:0.600384,time:22433
hit ratio:0.604339,time:23194
hit ratio:0.608113,time:23950
hit ratio:0.611034,time:24700
hit ratio:0.613361,time:25449
hit ratio:0.615343,time:26192
hit ratio:0.617307,time:26922
hit ratio:0.619233,time:27632
hit ratio:0.621021,time:28328
hit ratio:0.622837,time:29007
hit ratio:0.624612,time:29670
hit ratio:0.626186,time:30328
hit ratio:0.627838,time:30962
hit ratio:0.629549,time:31590
hit ratio:0.631151,time:32207
hit ratio:0.63272,time:32829
hit ratio:0.634236,time:33441
hit ratio:0.635785,time:34046
hit ratio:0.63716,time:34657
hit ratio:0.638605,time:35265
hit ratio:0.640029,time:35879
hit ratio:0.641463,time:36490
hit ratio:0.642729,time:37103
hit ratio:0.64394,time:37709
hit ratio:0.645151,time:38320
hit ratio:0.646357,time:38931
hit ratio:0.647494,time:39552
hit ratio:0.648508,time:40180
hit ratio:0.649519,time:40816
hit ratio:0.650459,time:41477
hit ratio:0.651314,time:42155
hit ratio:0.652078,time:42853
hit ratio:0.652868,time:43587
hit ratio:0.653551,time:44347
hit ratio:0.654002,time:45128
hit ratio:0.654542,time:45948
hit ratio:0.654955,time:46824
hit ratio:0.655255,time:47725
hit ratio:0.655454,time:48696
hit ratio:0.655751,time:49747
hit ratio:0.65587,time:50827
hit ratio:0.655853,time:51970
hit ratio:0.655816,time:53199
hit ratio:0.655607,time:54518
hit ratio:0.65521,time:55860
hit ratio:0.654562,time:57231
hit ratio:0.654043,time:58841
hit ratio:0.653346,time:60573
hit ratio:0.652921,time:62284
hit ratio:0.652289,time:64128
hit ratio:0.651555,time:65924
hit ratio:0.650675,time:67552
hit ratio:0.649897,time:69081
hit ratio:0.64921,time:70500
hit ratio:0.648686,time:71838
hit ratio:0.648284,time:73063
hit ratio:0.647948,time:74185
hit ratio:0.647746,time:75243
hit ratio:0.647644,time:76275
hit ratio:0.647663,time:77261
hit ratio:0.647733,time:78215
hit ratio:0.647866,time:79138
alloc failed. 79801,18446744073648702186,208,9223372036854775807
hit ratio:0.648015,time:80051
hit ratio:0.648192,time:80948
hit ratio:0.648357,time:81839
hit ratio:0.648549,time:82705
hit ratio:0.648867,time:83577
hit ratio:0.649156,time:84442
hit ratio:0.649487,time:85308
hit ratio:0.649826,time:86174
hit ratio:0.650181,time:87040
hit ratio:0.650506,time:87900
hit ratio:0.650934,time:88767
hit ratio:0.651351,time:89637
hit ratio:0.651808,time:90508
hit ratio:0.652291,time:91374
hit ratio:0.652797,time:92227
hit ratio:0.653243,time:93075
hit ratio:0.653758,time:93916
hit ratio:0.65422,time:94749
hit ratio:0.654706,time:95584
hit ratio:0.655182,time:96405
hit ratio:0.655693,time:97227
hit ratio:0.656234,time:98056
hit ratio:0.656793,time:98877
hit ratio:0.657316,time:99690
hit ratio:0.657849,time:100502
hit ratio:0.658373,time:101312
hit ratio:0.658883,time:102104
hit ratio:0.65936,time:102901
hit ratio:0.659811,time:103693
hit ratio:0.660251,time:104476
hit ratio:0.660724,time:105238
hit ratio:0.661177,time:105994
hit ratio:0.66162,time:106743
hit ratio:0.662077,time:107474
hit ratio:0.662519,time:108170
hit ratio:0.662939,time:108872
hit ratio:0.663314,time:109577
alloc failed. 110263,18446744072161380024,1047,74289992
hit ratio:0.663733,time:110283
hit ratio:0.664198,time:110970
hit ratio:0.66457,time:111643
hit ratio:0.664885,time:112307
hit ratio:0.665252,time:112970
hit ratio:0.66562,time:113627
hit ratio:0.666006,time:114270
hit ratio:0.666448,time:114894
hit ratio:0.666878,time:115510
hit ratio:0.667291,time:116124
hit ratio:0.667697,time:116724
hit ratio:0.668102,time:117305
hit ratio:0.66848,time:117897
hit ratio:0.668904,time:118476
hit ratio:0.669373,time:119042
hit ratio:0.669848,time:119593
hit ratio:0.670282,time:120143
hit ratio:0.67073,time:120686
hit ratio:0.671198,time:121213
hit ratio:0.671674,time:121753
hit ratio:0.672115,time:122295
hit ratio:0.672551,time:122833
hit ratio:0.673009,time:123358
hit ratio:0.673436,time:123891
hit ratio:0.673836,time:124445
hit ratio:0.674197,time:125010
alloc failed. 125051,864074957,635,9223372036854775807
hit ratio:0.674568,time:125566
hit ratio:0.674936,time:126120
hit ratio:0.675302,time:126691
hit ratio:0.675628,time:127291
hit ratio:0.675934,time:127896
hit ratio:0.676228,time:128525
hit ratio:0.676467,time:129168
hit ratio:0.676702,time:129821
hit ratio:0.67691,time:130476
hit ratio:0.677061,time:131153
hit ratio:0.677204,time:131866
hit ratio:0.677352,time:132608
