Cache Initialized. size: 16GB
time,id,size
hit ratio:0.22723,time:752
hit ratio:0.292875,time:1502
hit ratio:0.334857,time:2269
hit ratio:0.36719,time:3058
hit ratio:0.393678,time:3887
hit ratio:0.416513,time:4691
hit ratio:0.43591,time:5499
hit ratio:0.45304,time:6288
hit ratio:0.467267,time:7069
hit ratio:0.480535,time:7850
hit ratio:0.492839,time:8632
hit ratio:0.502815,time:9403
hit ratio:0.509642,time:10171
hit ratio:0.515226,time:10958
hit ratio:0.519081,time:11710
hit ratio:0.521921,time:12459
alloc failed. 12745,1382494053,1311,3424385
hit ratio:0.524054,time:13218
alloc failed. 13338,1326560742,10,9223372036854775807
hit ratio:0.525984,time:13989
hit ratio:0.527861,time:14779
hit ratio:0.529574,time:15563
hit ratio:0.531077,time:16326
hit ratio:0.532386,time:17096
hit ratio:0.534325,time:17882
hit ratio:0.536019,time:18651
alloc failed. 19315,18446744071852483641,516,9223372036854775807
hit ratio:0.537364,time:19404
hit ratio:0.538876,time:20166
hit ratio:0.540597,time:20916
hit ratio:0.542636,time:21684
hit ratio:0.544774,time:22433
hit ratio:0.546932,time:23194
hit ratio:0.549265,time:23950
hit ratio:0.551501,time:24700
hit ratio:0.553578,time:25449
hit ratio:0.555657,time:26192
hit ratio:0.557803,time:26922
hit ratio:0.559937,time:27632
hit ratio:0.56201,time:28328
hit ratio:0.564044,time:29007
hit ratio:0.566051,time:29670
hit ratio:0.567915,time:30328
hit ratio:0.569895,time:30962
hit ratio:0.571976,time:31590
hit ratio:0.573927,time:32207
hit ratio:0.575837,time:32829
hit ratio:0.577712,time:33441
hit ratio:0.579603,time:34046
hit ratio:0.581354,time:34657
hit ratio:0.583131,time:35265
hit ratio:0.584893,time:35879
hit ratio:0.586652,time:36490
hit ratio:0.588203,time:37103
hit ratio:0.589707,time:37709
hit ratio:0.591218,time:38320
hit ratio:0.592655,time:38931
hit ratio:0.594032,time:39552
hit ratio:0.595284,time:40180
hit ratio:0.596459,time:40816
hit ratio:0.597594,time:41477
hit ratio:0.598626,time:42155
hit ratio:0.599584,time:42853
hit ratio:0.600549,time:43587
hit ratio:0.601393,time:44347
hit ratio:0.602014,time:45128
hit ratio:0.602754,time:45948
hit ratio:0.603305,time:46824
hit ratio:0.60378,time:47725
hit ratio:0.604136,time:48696
hit ratio:0.604656,time:49747
hit ratio:0.604955,time:50827
hit ratio:0.60519,time:51970
hit ratio:0.605358,time:53199
hit ratio:0.605407,time:54518
hit ratio:0.605216,time:55860
hit ratio:0.604797,time:57231
hit ratio:0.604525,time:58841
hit ratio:0.604128,time:60573
hit ratio:0.604017,time:62284
hit ratio:0.60371,time:64128
hit ratio:0.603316,time:65924
hit ratio:0.602766,time:67552
hit ratio:0.602325,time:69081
hit ratio:0.602012,time:70500
hit ratio:0.601898,time:71838
hit ratio:0.601942,time:73063
hit ratio:0.602076,time:74185
hit ratio:0.602342,time:75243
hit ratio:0.60273,time:76275
hit ratio:0.603227,time:77261
hit ratio:0.603757,time:78215
hit ratio:0.604299,time:79138
alloc failed. 79801,18446744073648702186,208,9223372036854775807
hit ratio:0.604846,time:80051
hit ratio:0.605394,time:80948
hit ratio:0.605947,time:81839
hit ratio:0.606497,time:82705
hit ratio:0.607183,time:83577
hit ratio:0.607804,time:84442
hit ratio:0.608461,time:85308
hit ratio:0.609152,time:86174
hit ratio:0.609814,time:87040
hit ratio:0.61044,time:87900
hit ratio:0.61114,time:88767
hit ratio:0.61184,time:89637
hit ratio:0.612557,time:90508
hit ratio:0.613303,time:91374
hit ratio:0.614042,time:92227
hit ratio:0.614738,time:93075
hit ratio:0.615476,time:93916
hit ratio:0.616177,time:94749
hit ratio:0.616885,time:95584
hit ratio:0.617568,time:96405
hit ratio:0.618291,time:97227
hit ratio:0.61905,time:98056
hit ratio:0.619844,time:98877
hit ratio:0.620563,time:99690
hit ratio:0.621297,time:100502
hit ratio:0.622012,time:101312
hit ratio:0.622701,time:102104
hit ratio:0.623368,time:102901
hit ratio:0.623982,time:103693
hit ratio:0.62459,time:104476
hit ratio:0.625226,time:105238
hit ratio:0.625824,time:105994
hit ratio:0.626428,time:106743
hit ratio:0.627088,time:107474
hit ratio:0.627696,time:108170
hit ratio:0.628295,time:108872
hit ratio:0.62887,time:109577
alloc failed. 110263,18446744072161380024,1047,74289992
hit ratio:0.629503,time:110283
hit ratio:0.630154,time:110970
hit ratio:0.630772,time:111643
hit ratio:0.631327,time:112307
hit ratio:0.63191,time:112970
hit ratio:0.632513,time:113627
hit ratio:0.633125,time:114270
hit ratio:0.633798,time:114894
hit ratio:0.634445,time:115510
hit ratio:0.635062,time:116124
hit ratio:0.635663,time:116724
hit ratio:0.636252,time:117305
hit ratio:0.63682,time:117897
hit ratio:0.63743,time:118476
hit ratio:0.638077,time:119042
hit ratio:0.638735,time:119593
hit ratio:0.639355,time:120143
hit ratio:0.639985,time:120686
hit ratio:0.640626,time:121213
hit ratio:0.641267,time:121753
hit ratio:0.64187,time:122295
hit ratio:0.642458,time:122833
hit ratio:0.64308,time:123358
hit ratio:0.643669,time:123891
hit ratio:0.64422,time:124445
hit ratio:0.64474,time:125010
alloc failed. 125051,864074957,635,9223372036854775807
hit ratio:0.645263,time:125566
hit ratio:0.645775,time:126120
hit ratio:0.64628,time:126691
hit ratio:0.646765,time:127291
hit ratio:0.647217,time:127896
hit ratio:0.647656,time:128525
hit ratio:0.648033,time:129168
