Cache Initialized. size: 1GB
time,id,size
alloc failed. 318,18446744073342685186,861837,7968941
alloc failed. 355,18446744072772321884,807186,205554
alloc failed. 578,18446744073478564988,1670717,31898023
alloc failed. 595,1324475889,1365361,224169
hit ratio:0.18307,time:752
alloc failed. 812,302475319,1774,1033473
alloc failed. 931,1897812618,2014,427677
alloc failed. 1048,517129054,2626,69072033
alloc failed. 1179,18446744071803150329,3165,23482565
hit ratio:0.19092,time:1502
hit ratio:0.191373,time:2269
alloc failed. 2937,18446744072509434065,1962608,385691
hit ratio:0.192565,time:3058
hit ratio:0.193362,time:3887
hit ratio:0.194912,time:4691
hit ratio:0.196067,time:5499
hit ratio:0.197049,time:6288
hit ratio:0.197173,time:7069
hit ratio:0.197365,time:7850
hit ratio:0.197915,time:8632
hit ratio:0.198002,time:9403
hit ratio:0.198183,time:10171
hit ratio:0.198528,time:10958
hit ratio:0.198355,time:11710
hit ratio:0.197856,time:12459
alloc failed. 12745,1382494053,1311,3424385
hit ratio:0.197355,time:13218
alloc failed. 13338,1326560742,10,9223372036854775807
hit ratio:0.197011,time:13989
hit ratio:0.196832,time:14779
hit ratio:0.196754,time:15563
hit ratio:0.196669,time:16326
hit ratio:0.196475,time:17096
hit ratio:0.196879,time:17882
hit ratio:0.196912,time:18651
alloc failed. 19315,18446744071852483641,516,9223372036854775807
hit ratio:0.196875,time:19404
hit ratio:0.197071,time:20166
hit ratio:0.197403,time:20916
hit ratio:0.198092,time:21684
hit ratio:0.198989,time:22433
hit ratio:0.199877,time:23194
hit ratio:0.200786,time:23950
hit ratio:0.201617,time:24700
hit ratio:0.202578,time:25449
hit ratio:0.203344,time:26192
hit ratio:0.204257,time:26922
hit ratio:0.205187,time:27632
hit ratio:0.206082,time:28328
hit ratio:0.206861,time:29007
hit ratio:0.207763,time:29670
hit ratio:0.208531,time:30328
hit ratio:0.20935,time:30962
hit ratio:0.210412,time:31590
hit ratio:0.211309,time:32207
hit ratio:0.212128,time:32829
hit ratio:0.213011,time:33441
hit ratio:0.213927,time:34046
hit ratio:0.214637,time:34657
hit ratio:0.215343,time:35265
hit ratio:0.216119,time:35879
hit ratio:0.216963,time:36490
hit ratio:0.217592,time:37103
hit ratio:0.218186,time:37709
hit ratio:0.218765,time:38320
hit ratio:0.219228,time:38931
hit ratio:0.219645,time:39552
hit ratio:0.219935,time:40180
hit ratio:0.220145,time:40816
hit ratio:0.220351,time:41477
hit ratio:0.220577,time:42155
hit ratio:0.220691,time:42853
hit ratio:0.220791,time:43587
hit ratio:0.220799,time:44347
hit ratio:0.22066,time:45128
hit ratio:0.220607,time:45948
hit ratio:0.220535,time:46824
hit ratio:0.22047,time:47725
hit ratio:0.220285,time:48696
hit ratio:0.220277,time:49747
hit ratio:0.220149,time:50827
hit ratio:0.219908,time:51970
hit ratio:0.219651,time:53199
hit ratio:0.21943,time:54518
hit ratio:0.21907,time:55860
hit ratio:0.218562,time:57231
hit ratio:0.218334,time:58841
hit ratio:0.218071,time:60573
hit ratio:0.218187,time:62284
hit ratio:0.217952,time:64128
hit ratio:0.217467,time:65924
hit ratio:0.216886,time:67552
hit ratio:0.216347,time:69081
hit ratio:0.215897,time:70500
hit ratio:0.215575,time:71838
hit ratio:0.215358,time:73063
hit ratio:0.215158,time:74185
hit ratio:0.21503,time:75243
hit ratio:0.21493,time:76275
hit ratio:0.214933,time:77261
hit ratio:0.214941,time:78215
hit ratio:0.214973,time:79138
alloc failed. 79801,18446744073648702186,208,9223372036854775807
hit ratio:0.214998,time:80051
hit ratio:0.215043,time:80948
hit ratio:0.215029,time:81839
hit ratio:0.215036,time:82705
hit ratio:0.215123,time:83577
hit ratio:0.215129,time:84442
hit ratio:0.215141,time:85308
hit ratio:0.215206,time:86174
hit ratio:0.215253,time:87040
hit ratio:0.215252,time:87900
hit ratio:0.215296,time:88767
hit ratio:0.215367,time:89637
hit ratio:0.215422,time:90508
hit ratio:0.215489,time:91374
hit ratio:0.215574,time:92227
hit ratio:0.215664,time:93075
hit ratio:0.21575,time:93916
hit ratio:0.215783,time:94749
hit ratio:0.215834,time:95584
hit ratio:0.215849,time:96405
hit ratio:0.21586,time:97227
hit ratio:0.215911,time:98056
hit ratio:0.215971,time:98877
hit ratio:0.216034,time:99690
hit ratio:0.216102,time:100502
hit ratio:0.216216,time:101312
hit ratio:0.216364,time:102104
hit ratio:0.216442,time:102901
hit ratio:0.216476,time:103693
hit ratio:0.216519,time:104476
hit ratio:0.216574,time:105238
hit ratio:0.216647,time:105994
hit ratio:0.216746,time:106743
hit ratio:0.216849,time:107474
