Hits Per Slab Rebalancing init. Cache Initialized. size: 1GB
alloc failed. 318,18446744073342685186,861837,7968941
alloc failed. 355,18446744072772321884,807186,205554
alloc failed. 578,18446744073478564988,1670717,31898023
alloc failed. 595,1324475889,1365361,224169
hit ratio:0.1862,time:752
alloc failed. 812,302475319,1774,1033473
alloc failed. 931,1897812618,2014,427677
alloc failed. 1048,517129054,2626,69072033
alloc failed. 1179,18446744071803150329,3165,23482565
hit ratio:0.205605,time:1502
hit ratio:0.215647,time:2269
alloc failed. 2937,18446744072509434065,1962608,385691
hit ratio:0.224335,time:3058
hit ratio:0.23166,time:3887
hit ratio:0.238452,time:4691
hit ratio:0.243237,time:5499
hit ratio:0.247151,time:6288
hit ratio:0.249496,time:7069
hit ratio:0.251483,time:7850
hit ratio:0.253431,time:8632
hit ratio:0.254303,time:9403
hit ratio:0.255338,time:10171
hit ratio:0.256601,time:10958
hit ratio:0.257243,time:11710
hit ratio:0.257646,time:12459
alloc failed. 12745,1382494053,1311,3424385
hit ratio:0.257625,time:13218
alloc failed. 13338,1326560742,10,9223372036854775807
hit ratio:0.257646,time:13989
hit ratio:0.258017,time:14779
hit ratio:0.258586,time:15563
hit ratio:0.258926,time:16326
hit ratio:0.259043,time:17096
hit ratio:0.25984,time:17882
hit ratio:0.260253,time:18651
alloc failed. 19315,18446744071852483641,516,9223372036854775807
hit ratio:0.260678,time:19404
hit ratio:0.261411,time:20166
hit ratio:0.26194,time:20916
hit ratio:0.262709,time:21684
hit ratio:0.263788,time:22433
hit ratio:0.264872,time:23194
hit ratio:0.266113,time:23950
hit ratio:0.267314,time:24700
hit ratio:0.268434,time:25449
hit ratio:0.269426,time:26192
hit ratio:0.270652,time:26922
hit ratio:0.271976,time:27632
hit ratio:0.27321,time:28328
hit ratio:0.274321,time:29007
hit ratio:0.275433,time:29670
hit ratio:0.27648,time:30328
hit ratio:0.277694,time:30962
hit ratio:0.27911,time:31590
hit ratio:0.280244,time:32207
hit ratio:0.281335,time:32829
hit ratio:0.282546,time:33441
hit ratio:0.283709,time:34046
hit ratio:0.284739,time:34657
hit ratio:0.285857,time:35265
hit ratio:0.286882,time:35879
hit ratio:0.287941,time:36490
hit ratio:0.288822,time:37103
hit ratio:0.289713,time:37709
hit ratio:0.290515,time:38320
hit ratio:0.291169,time:38931
hit ratio:0.291817,time:39552
hit ratio:0.292273,time:40180
hit ratio:0.292676,time:40816
hit ratio:0.293085,time:41477
hit ratio:0.293472,time:42155
hit ratio:0.293729,time:42853
hit ratio:0.293964,time:43587
hit ratio:0.294132,time:44347
hit ratio:0.294109,time:45128
hit ratio:0.294154,time:45948
hit ratio:0.294098,time:46824
hit ratio:0.29407,time:47725
hit ratio:0.293974,time:48696
hit ratio:0.294014,time:49747
hit ratio:0.293802,time:50827
hit ratio:0.293513,time:51970
hit ratio:0.293216,time:53199
hit ratio:0.292925,time:54518
hit ratio:0.292453,time:55860
hit ratio:0.291801,time:57231
hit ratio:0.291401,time:58841
hit ratio:0.290977,time:60573
hit ratio:0.290938,time:62284
hit ratio:0.290621,time:64128
hit ratio:0.29001,time:65924
hit ratio:0.28925,time:67552
hit ratio:0.288557,time:69081
hit ratio:0.287962,time:70500
hit ratio:0.287561,time:71838
hit ratio:0.287265,time:73063
hit ratio:0.28698,time:74185
hit ratio:0.286775,time:75243
hit ratio:0.28666,time:76275
hit ratio:0.286645,time:77261
hit ratio:0.286574,time:78215
hit ratio:0.286556,time:79138
alloc failed. 79801,18446744073648702186,208,9223372036854775807
hit ratio:0.286621,time:80051
hit ratio:0.286657,time:80948
hit ratio:0.286619,time:81839
hit ratio:0.286611,time:82705
hit ratio:0.286694,time:83577
hit ratio:0.286711,time:84442
hit ratio:0.286766,time:85308
hit ratio:0.286864,time:86174
hit ratio:0.286926,time:87040
hit ratio:0.286926,time:87900
hit ratio:0.287015,time:88767
hit ratio:0.287141,time:89637
hit ratio:0.287268,time:90508
hit ratio:0.287331,time:91374
hit ratio:0.287431,time:92227
hit ratio:0.287564,time:93075
hit ratio:0.287717,time:93916
hit ratio:0.287775,time:94749
hit ratio:0.287866,time:95584
hit ratio:0.28793,time:96405
hit ratio:0.287996,time:97227
hit ratio:0.288106,time:98056
hit ratio:0.288241,time:98877
hit ratio:0.288335,time:99690
hit ratio:0.288426,time:100502
hit ratio:0.288596,time:101312
hit ratio:0.288811,time:102104
hit ratio:0.288974,time:102901
hit ratio:0.289079,time:103693
hit ratio:0.289169,time:104476
hit ratio:0.289273,time:105238
hit ratio:0.289372,time:105994
hit ratio:0.28953,time:106743
hit ratio:0.289745,time:107474
