Cache Initialized. size: 256MB
time,id,size
alloc failed. 49,18446744072053118689,1019737,3597941
alloc failed. 75,479917855,616427,127042
alloc failed. 93,18446744071934168961,1088120,71851
alloc failed. 318,18446744073342685186,861837,7968941
alloc failed. 578,18446744073478564988,1670717,31898023
alloc failed. 595,1324475889,1365361,224169
hit ratio:0.10033,time:752
alloc failed. 812,302475319,1774,1033473
alloc failed. 931,1897812618,2014,427677
alloc failed. 1048,517129054,2626,69072033
alloc failed. 1179,18446744071803150329,3165,23482565
hit ratio:0.09873,time:1502
hit ratio:0.0955967,time:2269
alloc failed. 2937,18446744072509434065,1962608,385691
hit ratio:0.09454,time:3058
hit ratio:0.093806,time:3887
hit ratio:0.0939683,time:4691
hit ratio:0.0939886,time:5499
hit ratio:0.09389,time:6288
hit ratio:0.0935567,time:7069
hit ratio:0.093107,time:7850
hit ratio:0.0929555,time:8632
hit ratio:0.092625,time:9403
hit ratio:0.0923985,time:10171
hit ratio:0.0923393,time:10958
hit ratio:0.0922287,time:11710
hit ratio:0.0918744,time:12459
alloc failed. 12745,1382494053,1311,3424385
hit ratio:0.0914182,time:13218
alloc failed. 13338,1326560742,10,9223372036854775807
hit ratio:0.0911311,time:13989
hit ratio:0.0909342,time:14779
hit ratio:0.0908535,time:15563
hit ratio:0.0908181,time:16326
hit ratio:0.0906927,time:17096
hit ratio:0.0909648,time:17882
hit ratio:0.0909692,time:18651
alloc failed. 19315,18446744071852483641,516,9223372036854775807
hit ratio:0.0909644,time:19404
hit ratio:0.0911377,time:20166
hit ratio:0.091507,time:20916
hit ratio:0.0919354,time:21684
hit ratio:0.0925697,time:22433
hit ratio:0.0930537,time:23194
hit ratio:0.0936071,time:23950
hit ratio:0.0940825,time:24700
hit ratio:0.0947706,time:25449
hit ratio:0.0952418,time:26192
hit ratio:0.095772,time:26922
hit ratio:0.0962794,time:27632
hit ratio:0.0968149,time:28328
hit ratio:0.0972111,time:29007
hit ratio:0.097709,time:29670
hit ratio:0.0981555,time:30328
hit ratio:0.0986644,time:30962
hit ratio:0.0992943,time:31590
hit ratio:0.0998086,time:32207
hit ratio:0.10024,time:32829
hit ratio:0.100736,time:33441
hit ratio:0.10126,time:34046
hit ratio:0.101613,time:34657
hit ratio:0.101977,time:35265
hit ratio:0.102411,time:35879
hit ratio:0.102905,time:36490
hit ratio:0.103232,time:37103
hit ratio:0.103563,time:37709
hit ratio:0.103851,time:38320
hit ratio:0.104031,time:38931
hit ratio:0.104198,time:39552
hit ratio:0.104312,time:40180
hit ratio:0.104392,time:40816
hit ratio:0.104478,time:41477
hit ratio:0.104619,time:42155
hit ratio:0.104678,time:42853
hit ratio:0.104754,time:43587
hit ratio:0.104772,time:44347
hit ratio:0.104688,time:45128
hit ratio:0.104682,time:45948
hit ratio:0.104682,time:46824
hit ratio:0.104728,time:47725
hit ratio:0.104693,time:48696
hit ratio:0.104789,time:49747
hit ratio:0.104852,time:50827
hit ratio:0.104865,time:51970
hit ratio:0.10489,time:53199
hit ratio:0.105027,time:54518
hit ratio:0.105075,time:55860
hit ratio:0.105017,time:57231
hit ratio:0.105187,time:58841
hit ratio:0.105427,time:60573
hit ratio:0.106002,time:62284
hit ratio:0.106205,time:64128
hit ratio:0.106163,time:65924
hit ratio:0.106029,time:67552
hit ratio:0.10591,time:69081
hit ratio:0.105809,time:70500
hit ratio:0.105753,time:71838
hit ratio:0.105751,time:73063
hit ratio:0.105744,time:74185
hit ratio:0.105763,time:75243
hit ratio:0.105775,time:76275
hit ratio:0.105845,time:77261
hit ratio:0.105885,time:78215
hit ratio:0.105953,time:79138
alloc failed. 79801,18446744073648702186,208,9223372036854775807
hit ratio:0.106001,time:80051
hit ratio:0.106044,time:80948
hit ratio:0.106057,time:81839
hit ratio:0.106057,time:82705
hit ratio:0.106113,time:83577
hit ratio:0.106087,time:84442
hit ratio:0.106038,time:85308
hit ratio:0.106038,time:86174
hit ratio:0.106035,time:87040
hit ratio:0.105991,time:87900
hit ratio:0.105974,time:88767
hit ratio:0.105946,time:89637
hit ratio:0.10591,time:90508
hit ratio:0.105902,time:91374
hit ratio:0.10589,time:92227
hit ratio:0.105864,time:93075
hit ratio:0.105839,time:93916
hit ratio:0.105778,time:94749
hit ratio:0.105749,time:95584
hit ratio:0.105678,time:96405
hit ratio:0.105613,time:97227
hit ratio:0.105579,time:98056
hit ratio:0.105542,time:98877
hit ratio:0.105498,time:99690
hit ratio:0.105439,time:100502
hit ratio:0.105439,time:101312
hit ratio:0.105506,time:102104
hit ratio:0.105504,time:102901
hit ratio:0.105453,time:103693
