Cache Initialized. size: 2GB
time,id,size
alloc failed. 578,18446744073478564988,1670717,31898023
alloc failed. 595,1324475889,1365361,224169
hit ratio:0.22089,time:752
alloc failed. 812,302475319,1774,1033473
alloc failed. 931,1897812618,2014,427677
alloc failed. 1048,517129054,2626,69072033
alloc failed. 1179,18446744071803150329,3165,23482565
hit ratio:0.24582,time:1502
alloc failed. 1858,684295,1545300,294143
hit ratio:0.258913,time:2269
alloc failed. 2937,18446744072509434065,1962608,385691
hit ratio:0.27014,time:3058
hit ratio:0.279702,time:3887
hit ratio:0.288895,time:4691
hit ratio:0.296287,time:5499
hit ratio:0.302848,time:6288
hit ratio:0.30731,time:7069
hit ratio:0.311717,time:7850
hit ratio:0.315875,time:8632
hit ratio:0.319248,time:9403
hit ratio:0.322132,time:10171
hit ratio:0.325078,time:10958
hit ratio:0.327113,time:11710
hit ratio:0.328692,time:12459
alloc failed. 12745,1382494053,1311,3424385
hit ratio:0.329881,time:13218
alloc failed. 13338,1326560742,10,9223372036854775807
hit ratio:0.330929,time:13989
hit ratio:0.332173,time:14779
hit ratio:0.333286,time:15563
hit ratio:0.334354,time:16326
hit ratio:0.335239,time:17096
hit ratio:0.336633,time:17882
hit ratio:0.337503,time:18651
alloc failed. 19315,18446744071852483641,516,9223372036854775807
hit ratio:0.338018,time:19404
hit ratio:0.338756,time:20166
hit ratio:0.339525,time:20916
hit ratio:0.340664,time:21684
hit ratio:0.341982,time:22433
hit ratio:0.343344,time:23194
hit ratio:0.344842,time:23950
hit ratio:0.346248,time:24700
hit ratio:0.347666,time:25449
hit ratio:0.348939,time:26192
hit ratio:0.350236,time:26922
hit ratio:0.351654,time:27632
hit ratio:0.352971,time:28328
hit ratio:0.354173,time:29007
hit ratio:0.355484,time:29670
hit ratio:0.356611,time:30328
hit ratio:0.357848,time:30962
hit ratio:0.359336,time:31590
hit ratio:0.360691,time:32207
hit ratio:0.362008,time:32829
hit ratio:0.363367,time:33441
hit ratio:0.364734,time:34046
hit ratio:0.36585,time:34657
hit ratio:0.367011,time:35265
hit ratio:0.368136,time:35879
hit ratio:0.36926,time:36490
hit ratio:0.370167,time:37103
hit ratio:0.371053,time:37709
hit ratio:0.371938,time:38320
hit ratio:0.372742,time:38931
hit ratio:0.373551,time:39552
hit ratio:0.374259,time:40180
hit ratio:0.374864,time:40816
hit ratio:0.375318,time:41477
hit ratio:0.375648,time:42155
hit ratio:0.375914,time:42853
hit ratio:0.376193,time:43587
hit ratio:0.376345,time:44347
hit ratio:0.376319,time:45128
hit ratio:0.37639,time:45948
hit ratio:0.376397,time:46824
hit ratio:0.376418,time:47725
hit ratio:0.376274,time:48696
hit ratio:0.37628,time:49747
hit ratio:0.376085,time:50827
hit ratio:0.37573,time:51970
hit ratio:0.375271,time:53199
hit ratio:0.374831,time:54518
hit ratio:0.374222,time:55860
hit ratio:0.373489,time:57231
hit ratio:0.373002,time:58841
hit ratio:0.372417,time:60573
hit ratio:0.372173,time:62284
hit ratio:0.371649,time:64128
hit ratio:0.370885,time:65924
hit ratio:0.369984,time:67552
hit ratio:0.36915,time:69081
hit ratio:0.368451,time:70500
hit ratio:0.367942,time:71838
hit ratio:0.367583,time:73063
hit ratio:0.367231,time:74185
hit ratio:0.367024,time:75243
hit ratio:0.366894,time:76275
hit ratio:0.366883,time:77261
hit ratio:0.36684,time:78215
hit ratio:0.366819,time:79138
alloc failed. 79801,18446744073648702186,208,9223372036854775807
hit ratio:0.366791,time:80051
hit ratio:0.366791,time:80948
hit ratio:0.366813,time:81839
hit ratio:0.366841,time:82705
hit ratio:0.366926,time:83577
hit ratio:0.366961,time:84442
hit ratio:0.367065,time:85308
hit ratio:0.367239,time:86174
hit ratio:0.367398,time:87040
hit ratio:0.367489,time:87900
hit ratio:0.367636,time:88767
hit ratio:0.367749,time:89637
hit ratio:0.367894,time:90508
hit ratio:0.368052,time:91374
hit ratio:0.368232,time:92227
hit ratio:0.368396,time:93075
hit ratio:0.368597,time:93916
hit ratio:0.368777,time:94749
hit ratio:0.368964,time:95584
hit ratio:0.369103,time:96405
hit ratio:0.369243,time:97227
hit ratio:0.369421,time:98056
hit ratio:0.369593,time:98877
hit ratio:0.369777,time:99690
hit ratio:0.369961,time:100502
hit ratio:0.370183,time:101312
hit ratio:0.370439,time:102104
hit ratio:0.370659,time:102901
hit ratio:0.370824,time:103693
hit ratio:0.370992,time:104476
hit ratio:0.371174,time:105238
hit ratio:0.37136,time:105994
hit ratio:0.371571,time:106743
hit ratio:0.371801,time:107474
hit ratio:0.372029,time:108170
hit ratio:0.372226,time:108872
