Hits Per Slab Rebalancing init. Cache Initialized. size: 512MB
alloc failed. 318,18446744073342685186,861837,7968941
alloc failed. 578,18446744073478564988,1670717,31898023
alloc failed. 595,1324475889,1365361,224169
hit ratio:0.15374,time:752
alloc failed. 812,302475319,1774,1033473
alloc failed. 931,1897812618,2014,427677
alloc failed. 1048,517129054,2626,69072033
alloc failed. 1179,18446744071803150329,3165,23482565
hit ratio:0.16726,time:1502
hit ratio:0.173013,time:2269
alloc failed. 2937,18446744072509434065,1962608,385691
hit ratio:0.176172,time:3058
hit ratio:0.178458,time:3887
hit ratio:0.18086,time:4691
hit ratio:0.182676,time:5499
hit ratio:0.183994,time:6288
hit ratio:0.184442,time:7069
hit ratio:0.184855,time:7850
hit ratio:0.185519,time:8632
hit ratio:0.185794,time:9403
hit ratio:0.186105,time:10171
hit ratio:0.186596,time:10958
hit ratio:0.186797,time:11710
hit ratio:0.186607,time:12459
alloc failed. 12745,1382494053,1311,3424385
hit ratio:0.186441,time:13218
alloc failed. 13338,1326560742,10,9223372036854775807
hit ratio:0.186293,time:13989
hit ratio:0.186384,time:14779
hit ratio:0.186593,time:15563
hit ratio:0.186716,time:16326
hit ratio:0.186835,time:17096
hit ratio:0.187394,time:17882
hit ratio:0.187599,time:18651
alloc failed. 19315,18446744071852483641,516,9223372036854775807
hit ratio:0.187835,time:19404
hit ratio:0.188226,time:20166
hit ratio:0.188751,time:20916
hit ratio:0.189471,time:21684
hit ratio:0.190522,time:22433
hit ratio:0.191397,time:23194
hit ratio:0.192395,time:23950
hit ratio:0.193276,time:24700
hit ratio:0.194413,time:25449
hit ratio:0.195391,time:26192
hit ratio:0.196403,time:26922
hit ratio:0.197461,time:27632
hit ratio:0.198498,time:28328
hit ratio:0.199438,time:29007
hit ratio:0.200509,time:29670
hit ratio:0.201419,time:30328
hit ratio:0.202438,time:30962
hit ratio:0.203599,time:31590
hit ratio:0.20463,time:32207
hit ratio:0.205618,time:32829
hit ratio:0.206621,time:33441
hit ratio:0.20769,time:34046
hit ratio:0.208541,time:34657
hit ratio:0.209361,time:35265
hit ratio:0.210306,time:35879
hit ratio:0.21124,time:36490
hit ratio:0.212034,time:37103
hit ratio:0.212768,time:37709
hit ratio:0.213439,time:38320
hit ratio:0.213973,time:38931
hit ratio:0.214513,time:39552
hit ratio:0.214877,time:40180
hit ratio:0.215181,time:40816
hit ratio:0.215442,time:41477
hit ratio:0.215772,time:42155
hit ratio:0.215996,time:42853
hit ratio:0.21623,time:43587
hit ratio:0.216326,time:44347
hit ratio:0.216257,time:45128
hit ratio:0.216281,time:45948
hit ratio:0.216253,time:46824
hit ratio:0.216267,time:47725
hit ratio:0.216168,time:48696
hit ratio:0.21618,time:49747
hit ratio:0.2161,time:50827
hit ratio:0.215896,time:51970
hit ratio:0.2157,time:53199
hit ratio:0.215528,time:54518
hit ratio:0.215224,time:55860
hit ratio:0.214767,time:57231
hit ratio:0.214551,time:58841
hit ratio:0.214392,time:60573
hit ratio:0.21458,time:62284
hit ratio:0.214415,time:64128
hit ratio:0.213995,time:65924
hit ratio:0.213455,time:67552
hit ratio:0.212989,time:69081
hit ratio:0.21253,time:70500
hit ratio:0.212242,time:71838
hit ratio:0.212032,time:73063
hit ratio:0.211862,time:74185
hit ratio:0.211749,time:75243
hit ratio:0.211635,time:76275
hit ratio:0.211638,time:77261
hit ratio:0.211601,time:78215
hit ratio:0.211622,time:79138
alloc failed. 79801,18446744073648702186,208,9223372036854775807
hit ratio:0.211628,time:80051
hit ratio:0.211641,time:80948
hit ratio:0.211634,time:81839
hit ratio:0.211614,time:82705
hit ratio:0.211671,time:83577
hit ratio:0.21165,time:84442
hit ratio:0.211649,time:85308
hit ratio:0.211703,time:86174
hit ratio:0.211738,time:87040
hit ratio:0.211723,time:87900
hit ratio:0.211747,time:88767
hit ratio:0.211811,time:89637
hit ratio:0.21184,time:90508
hit ratio:0.211884,time:91374
hit ratio:0.211947,time:92227
hit ratio:0.211996,time:93075
hit ratio:0.212059,time:93916
hit ratio:0.212067,time:94749
hit ratio:0.212112,time:95584
hit ratio:0.212132,time:96405
hit ratio:0.212132,time:97227
hit ratio:0.21219,time:98056
hit ratio:0.212219,time:98877
hit ratio:0.212261,time:99690
hit ratio:0.2123,time:100502
hit ratio:0.212395,time:101312
hit ratio:0.21255,time:102104
hit ratio:0.212634,time:102901
hit ratio:0.212675,time:103693
hit ratio:0.212719,time:104476
hit ratio:0.212773,time:105238
hit ratio:0.212842,time:105994
hit ratio:0.212944,time:106743
hit ratio:0.213053,time:107474
hit ratio:0.213194,time:108170
