Marginal Hits init.Cache Initialized. size: 512MB
alloc failed. 318,18446744073342685186,861837,7968941
alloc failed. 578,18446744073478564988,1670717,31898023
alloc failed. 595,1324475889,1365361,224169
hit ratio:0.15404,time:752
alloc failed. 812,302475319,1774,1033473
alloc failed. 931,1897812618,2014,427677
alloc failed. 1048,517129054,2626,69072033
alloc failed. 1179,18446744071803150329,3165,23482565
hit ratio:0.167785,time:1502
hit ratio:0.173167,time:2269
alloc failed. 2937,18446744072509434065,1962608,385691
hit ratio:0.17639,time:3058
hit ratio:0.178556,time:3887
hit ratio:0.181075,time:4691
hit ratio:0.182811,time:5499
hit ratio:0.184182,time:6288
hit ratio:0.18461,time:7069
hit ratio:0.184991,time:7850
hit ratio:0.185658,time:8632
hit ratio:0.185921,time:9403
hit ratio:0.18624,time:10171
hit ratio:0.186709,time:10958
hit ratio:0.186907,time:11710
hit ratio:0.186717,time:12459
alloc failed. 12745,1382494053,1311,3424385
hit ratio:0.186553,time:13218
alloc failed. 13338,1326560742,10,9223372036854775807
hit ratio:0.186444,time:13989
hit ratio:0.186504,time:14779
hit ratio:0.186733,time:15563
hit ratio:0.186884,time:16326
hit ratio:0.186962,time:17096
hit ratio:0.18756,time:17882
hit ratio:0.187794,time:18651
alloc failed. 19315,18446744071852483641,516,9223372036854775807
hit ratio:0.188019,time:19404
hit ratio:0.188428,time:20166
hit ratio:0.18896,time:20916
hit ratio:0.189661,time:21684
hit ratio:0.190687,time:22433
hit ratio:0.191579,time:23194
hit ratio:0.192579,time:23950
hit ratio:0.193471,time:24700
hit ratio:0.194569,time:25449
hit ratio:0.195538,time:26192
hit ratio:0.196571,time:26922
hit ratio:0.197624,time:27632
hit ratio:0.198669,time:28328
hit ratio:0.199615,time:29007
hit ratio:0.200676,time:29670
hit ratio:0.201586,time:30328
hit ratio:0.202588,time:30962
hit ratio:0.203756,time:31590
hit ratio:0.204815,time:32207
hit ratio:0.205785,time:32829
hit ratio:0.206795,time:33441
hit ratio:0.207855,time:34046
hit ratio:0.208709,time:34657
hit ratio:0.209531,time:35265
hit ratio:0.21045,time:35879
hit ratio:0.211383,time:36490
hit ratio:0.212191,time:37103
hit ratio:0.212931,time:37709
hit ratio:0.213609,time:38320
hit ratio:0.214136,time:38931
hit ratio:0.214686,time:39552
hit ratio:0.215051,time:40180
hit ratio:0.215346,time:40816
hit ratio:0.215616,time:41477
hit ratio:0.215946,time:42155
hit ratio:0.216163,time:42853
hit ratio:0.216387,time:43587
hit ratio:0.216488,time:44347
hit ratio:0.216404,time:45128
hit ratio:0.21643,time:45948
hit ratio:0.216398,time:46824
hit ratio:0.216416,time:47725
hit ratio:0.216323,time:48696
hit ratio:0.216328,time:49747
hit ratio:0.216233,time:50827
hit ratio:0.216037,time:51970
hit ratio:0.215835,time:53199
hit ratio:0.215659,time:54518
hit ratio:0.215348,time:55860
hit ratio:0.214888,time:57231
hit ratio:0.214671,time:58841
hit ratio:0.214507,time:60573
hit ratio:0.214698,time:62284
hit ratio:0.21453,time:64128
hit ratio:0.214118,time:65924
hit ratio:0.213575,time:67552
hit ratio:0.213105,time:69081
hit ratio:0.212641,time:70500
hit ratio:0.212354,time:71838
hit ratio:0.212142,time:73063
hit ratio:0.211959,time:74185
hit ratio:0.211844,time:75243
hit ratio:0.211734,time:76275
hit ratio:0.211746,time:77261
hit ratio:0.211705,time:78215
hit ratio:0.211724,time:79138
alloc failed. 79801,18446744073648702186,208,9223372036854775807
hit ratio:0.211721,time:80051
hit ratio:0.211732,time:80948
hit ratio:0.211716,time:81839
hit ratio:0.211703,time:82705
hit ratio:0.211751,time:83577
hit ratio:0.211735,time:84442
hit ratio:0.211728,time:85308
hit ratio:0.21177,time:86174
hit ratio:0.211819,time:87040
hit ratio:0.211796,time:87900
hit ratio:0.211819,time:88767
hit ratio:0.211878,time:89637
hit ratio:0.211913,time:90508
hit ratio:0.211965,time:91374
hit ratio:0.21203,time:92227
hit ratio:0.212071,time:93075
hit ratio:0.212139,time:93916
hit ratio:0.212137,time:94749
hit ratio:0.212189,time:95584
hit ratio:0.212214,time:96405
hit ratio:0.212207,time:97227
hit ratio:0.212264,time:98056
hit ratio:0.212287,time:98877
hit ratio:0.212327,time:99690
hit ratio:0.212376,time:100502
hit ratio:0.212465,time:101312
hit ratio:0.212625,time:102104
hit ratio:0.212711,time:102901
hit ratio:0.212752,time:103693
hit ratio:0.212794,time:104476
hit ratio:0.21285,time:105238
hit ratio:0.21293,time:105994
hit ratio:0.213027,time:106743
hit ratio:0.213137,time:107474
hit ratio:0.213266,time:108170
hit ratio:0.213411,time:108872
