Marginal Hits init.Cache Initialized. size: 4GB
hit ratio:0.48727,time:7710
hit ratio:0.56519,time:15369
hit ratio:0.60718,time:22865
hit ratio:0.64111,time:29868
hit ratio:0.664354,time:35757
hit ratio:0.67595,time:41617
alloc failed. 42424,547057252,1615,6711220
hit ratio:0.6815,time:49476
hit ratio:0.679589,time:63427
hit ratio:0.677712,time:76804
alloc failed. 85443,18446744072836262267,2114,9223372036854775807
alloc failed. 85449,1303631299,2127,9223372036854775807
alloc failed. 85463,18446744073097321877,2137,9223372036854775807
alloc failed. 85480,33910357,2223,9223372036854775807
alloc failed. 85484,2031546215,1322,9223372036854775807
hit ratio:0.682134,time:85573
hit ratio:0.687564,time:93951
hit ratio:0.693662,time:101981
hit ratio:0.699362,time:109270
hit ratio:0.705199,time:115722
hit ratio:0.711469,time:121278
alloc failed. 124941,1113369980,1294,9223372036854775807
alloc failed. 124950,406950144,1146,9223372036854775807
alloc failed. 125193,1468515267,956,9223372036854775807
hit ratio:0.717229,time:126523
hit ratio:0.721174,time:132814
hit ratio:0.722608,time:142947
alloc failed. 148012,1980819638,631,1832405
hit ratio:0.721069,time:158775
hit ratio:0.722948,time:168569
hit ratio:0.72538,time:176494
hit ratio:0.728263,time:184211
hit ratio:0.731143,time:191277
hit ratio:0.73405,time:197792
hit ratio:0.736948,time:203436
hit ratio:0.739967,time:208283
hit ratio:0.742694,time:213378
hit ratio:0.74457,time:219268
hit ratio:0.744987,time:228704
hit ratio:0.743476,time:243916
hit ratio:0.743601,time:253697
hit ratio:0.744305,time:261113
hit ratio:0.7452,time:268259
hit ratio:0.746161,time:275278
hit ratio:0.747345,time:282238
hit ratio:0.748336,time:288492
hit ratio:0.749574,time:294161
hit ratio:0.750946,time:299576
hit ratio:0.752186,time:305886
hit ratio:0.752307,time:315703
hit ratio:0.75087,time:330986
hit ratio:0.750682,time:340546
hit ratio:0.750745,time:348479
hit ratio:0.750543,time:355509
hit ratio:0.750572,time:362426
hit ratio:0.750966,time:369550
hit ratio:0.751699,time:376203
hit ratio:0.752691,time:382084
hit ratio:0.753681,time:387854
hit ratio:0.75398,time:395074
hit ratio:0.752416,time:407637
hit ratio:0.750789,time:422022
hit ratio:0.750601,time:430751
hit ratio:0.750424,time:438172
hit ratio:0.750342,time:445437
hit ratio:0.750254,time:452477
hit ratio:0.750619,time:459483
hit ratio:0.751243,time:465718
hit ratio:0.752078,time:471292
hit ratio:0.752865,time:477013
hit ratio:0.752766,time:485619
hit ratio:0.751661,time:501261
hit ratio:0.751632,time:512324
hit ratio:0.752038,time:520335
hit ratio:0.75248,time:527959
hit ratio:0.752921,time:535507
alloc failed. 538842,18446744071882913588,208,9223372036854775807
hit ratio:0.753334,time:542930
hit ratio:0.753905,time:549568
hit ratio:0.75471,time:555430
hit ratio:0.755529,time:561489
hit ratio:0.755905,time:569514
hit ratio:0.7553,time:584161
hit ratio:0.75519,time:597152
hit ratio:0.755782,time:606037
hit ratio:0.756293,time:614361
hit ratio:0.756447,time:622176
hit ratio:0.755808,time:628884
hit ratio:0.755661,time:635165
hit ratio:0.755581,time:640673
hit ratio:0.755662,time:646064
hit ratio:0.755491,time:651824
alloc failed. 652817,726974998,441,9223372036854775807
