Marginal Hits init.Cache Initialized. size: 512MB
alloc failed. 2937,18446744072509434065,1962608,39946
alloc failed. 2944,18446744072509434065,1962608,40038
alloc failed. 2952,18446744072509434065,1962608,9223372036854775807
alloc failed. 5200,18446744073064433766,1252282,9223372036854775807
alloc failed. 7516,18446744073402992348,2700,1112172
hit ratio:0.39262,time:7710
alloc failed. 9185,18446744073529930311,3384,3598157
hit ratio:0.41955,time:15369
hit ratio:0.437757,time:22865
hit ratio:0.457033,time:29868
hit ratio:0.47432,time:35757
hit ratio:0.486148,time:41617
alloc failed. 42424,547057252,1615,6711220
hit ratio:0.48959,time:49476
hit ratio:0.4836,time:63427
hit ratio:0.477837,time:76804
alloc failed. 85443,18446744072836262267,2114,9223372036854775807
alloc failed. 85449,1303631299,2127,9223372036854775807
alloc failed. 85463,18446744073097321877,2137,9223372036854775807
alloc failed. 85484,2031546215,1322,9223372036854775807
hit ratio:0.478283,time:85573
hit ratio:0.479661,time:93951
hit ratio:0.482408,time:101981
hit ratio:0.484918,time:109270
hit ratio:0.487746,time:115722
hit ratio:0.491534,time:121278
alloc failed. 125193,1468515267,956,9223372036854775807
hit ratio:0.495369,time:126523
hit ratio:0.497101,time:132814
hit ratio:0.495948,time:142947
alloc failed. 148012,1980819638,631,1832405
hit ratio:0.49131,time:158775
hit ratio:0.490413,time:168569
hit ratio:0.490271,time:176494
hit ratio:0.491231,time:184211
hit ratio:0.49215,time:191277
hit ratio:0.493317,time:197792
hit ratio:0.494371,time:203436
hit ratio:0.496395,time:208283
hit ratio:0.497767,time:213378
hit ratio:0.497954,time:219268
hit ratio:0.496514,time:228704
hit ratio:0.49281,time:243916
hit ratio:0.490837,time:253697
hit ratio:0.489152,time:261113
hit ratio:0.487988,time:268259
hit ratio:0.487218,time:275278
hit ratio:0.486609,time:282238
hit ratio:0.485914,time:288492
hit ratio:0.485957,time:294161
hit ratio:0.48632,time:299576
hit ratio:0.486452,time:305886
hit ratio:0.485484,time:315703
hit ratio:0.48279,time:330986
hit ratio:0.481333,time:340546
hit ratio:0.480566,time:348479
hit ratio:0.479566,time:355509
hit ratio:0.478834,time:362426
hit ratio:0.478489,time:369550
hit ratio:0.478595,time:376203
hit ratio:0.479198,time:382084
hit ratio:0.479835,time:387854
hit ratio:0.479715,time:395074
hit ratio:0.478032,time:407637
hit ratio:0.476135,time:422022
hit ratio:0.475229,time:430751
hit ratio:0.474409,time:438172
hit ratio:0.473711,time:445437
hit ratio:0.472954,time:452477
hit ratio:0.472775,time:459483
hit ratio:0.473118,time:465718
hit ratio:0.473804,time:471292
hit ratio:0.474578,time:477013
hit ratio:0.47422,time:485619
hit ratio:0.472922,time:501261
hit ratio:0.472519,time:512324
hit ratio:0.472325,time:520335
hit ratio:0.472039,time:527959
hit ratio:0.471962,time:535507
alloc failed. 538842,18446744071882913588,208,9223372036854775807
hit ratio:0.471764,time:542930
hit ratio:0.471892,time:549568
hit ratio:0.472313,time:555430
hit ratio:0.472859,time:561489
hit ratio:0.472847,time:569514
hit ratio:0.471929,time:584161
hit ratio:0.471468,time:597152
hit ratio:0.471468,time:606037
hit ratio:0.471426,time:614361
hit ratio:0.471166,time:622176
hit ratio:0.470323,time:628884
hit ratio:0.469874,time:635165
hit ratio:0.469542,time:640673
hit ratio:0.469416,time:646064
hit ratio:0.469141,time:651824
alloc failed. 652817,726974998,441,9223372036854775807
hit ratio:0.46828,time:659407
hit ratio:0.466446,time:670670
hit ratio:0.465145,time:681056
hit ratio:0.464548,time:689144
hit ratio:0.463891,time:696339
hit ratio:0.463332,time:703204
hit ratio:0.462827,time:710104
hit ratio:0.46359,time:717169
hit ratio:0.464365,time:723736
hit ratio:0.465256,time:729646
hit ratio:0.466097,time:735708
hit ratio:0.466679,time:743383
hit ratio:0.466779,time:757331
hit ratio:0.466738,time:770848
hit ratio:0.467195,time:779728
hit ratio:0.467457,time:787673
hit ratio:0.467752,time:794952
hit ratio:0.468195,time:802101
hit ratio:0.468743,time:808284
hit ratio:0.469343,time:813914
hit ratio:0.469892,time:819538
hit ratio:0.470381,time:825968
hit ratio:0.470195,time:836845
hit ratio:0.470009,time:852467
hit ratio:0.470771,time:860626
hit ratio:0.471509,time:867161
hit ratio:0.472252,time:873039
hit ratio:0.473087,time:878614
hit ratio:0.474209,time:883162
hit ratio:0.475238,time:887843
hit ratio:0.476128,time:893003
alloc failed. 897027,845834783,10,11284584
hit ratio:0.477004,time:897802
hit ratio:0.477895,time:902649
hit ratio:0.478623,time:907668
hit ratio:0.479277,time:913768
hit ratio:0.480207,time:922427
hit ratio:0.48148,time:932806
hit ratio:0.482722,time:940810
hit ratio:0.48265,time:950584
hit ratio:0.482572,time:958851
hit ratio:0.482547,time:966918
hit ratio:0.482622,time:974795
hit ratio:0.48283,time:982016
hit ratio:0.483227,time:988438
hit ratio:0.483582,time:995031
hit ratio:0.483721,time:1005286
hit ratio:0.483503,time:1026888
hit ratio:0.48371,time:1037343
hit ratio:0.483943,time:1045469
hit ratio:0.483984,time:1053510
hit ratio:0.484009,time:1061591
hit ratio:0.48433,time:1068574
hit ratio:0.484863,time:1074710
hit ratio:0.485416,time:1080970
hit ratio:0.485495,time:1090610
hit ratio:0.485061,time:1111564
hit ratio:0.485014,time:1122707
hit ratio:0.485004,time:1131397
hit ratio:0.485003,time:1139781
hit ratio:0.485086,time:1147819
hit ratio:0.485308,time:1155234
hit ratio:0.485705,time:1161835
hit ratio:0.486073,time:1168785
hit ratio:0.48614,time:1180983
hit ratio:0.486041,time:1202433
hit ratio:0.486314,time:1211236
hit ratio:0.486374,time:1218851
hit ratio:0.486235,time:1226221
hit ratio:0.486069,time:1233782
hit ratio:0.486352,time:1241507
hit ratio:0.486805,time:1248396
hit ratio:0.487229,time:1255425
hit ratio:0.48732,time:1265942
hit ratio:0.487151,time:1287421
hit ratio:0.487446,time:1298505
hit ratio:0.487704,time:1307633
hit ratio:0.487942,time:1316222
hit ratio:0.48824,time:1324214
alloc failed. 1330544,18446744072236561540,826,9223372036854775807
hit ratio:0.488689,time:1331159
hit ratio:0.489163,time:1337643
hit ratio:0.489514,time:1345087
hit ratio:0.489572,time:1360747
hit ratio:0.489687,time:1378849
hit ratio:0.489949,time:1388458
hit ratio:0.490051,time:1396676
hit ratio:0.49029,time:1404054
hit ratio:0.490519,time:1410829
hit ratio:0.490826,time:1416680
hit ratio:0.491151,time:1422201
hit ratio:0.491428,time:1428359
hit ratio:0.491395,time:1438735
